id,label,ts_in,ts_out,attr_1,attr_2
1,product-306,0,136,162,162
2,product-1172,0,150,21,184
3,product-340,1,8,56,99
4,product-952,3,14,159,115
5,product-319,4,21,223,205
6,product-1108,4,29,19,76
7,product-1149,5,13,223,11
8,product-57,5,19,39,116
9,product-246,5,32,172,174
10,product-169,5,62,80,50
11,product-1218,5,79,11,108
12,product-1445,6,97,81,66
13,product-334,8,81,94,73
14,product-1192,9,16,79,200
15,product-1534,9,44,214,158
16,product-894,9,86,149,75
17,product-1037,10,43,272,205
18,product-73,10,75,129,23
19,product-1306,10,82,24,84
20,product-1072,11,31,109,138
21,product-1976,11,32,102,134
22,product-329,11,58,17,193
23,product-1568,11,66,165,247
24,product-1921,11,77,59,113
25,product-362,12,45,205,160
26,product-1821,12,53,140,91
27,product-2000,13,20,177,52
28,product-338,13,29,136,129
29,product-752,13,35,68,221
30,product-901,13,51,62,102
31,product-104,13,95,141,205
32,product-738,14,77,140,154
33,product-323,14,83,146,57
34,product-289,14,91,203,79
35,product-606,14,91,85,108
36,product-545,14,98,76,232
37,product-1080,15,35,124,197
38,product-634,15,67,45,165
39,product-601,15,72,173,166
40,product-70,16,25,195,180
41,product-301,16,47,116,154
42,product-1421,16,57,73,107
43,product-1881,16,72,198,43
44,product-1915,16,81,157,207
45,product-1977,16,89,136,56
46,product-856,17,48,108,60
47,product-434,17,56,157,190
48,product-218,17,61,82,123
49,product-350,17,62,93,147
50,product-719,17,76,31,32
51,product-624,17,93,138,179
52,product-811,18,35,167,40
53,product-788,18,38,60,100
54,product-996,18,50,133,158
55,product-1868,18,66,155,112
56,product-1210,18,67,23,180
57,product-388,19,40,157,80
58,product-1600,19,45,142,127
59,product-1591,19,64,201,109
60,product-1170,19,69,90,214
61,product-554,19,76,134,140
62,product-1540,19,100,44,106
63,product-1647,20,29,211,173
64,product-128,20,45,40,149
65,product-1132,20,102,93,152
66,product-1883,20,109,178,140
67,product-1841,20,111,181,133
68,product-43,21,25,97,121
69,product-1103,21,27,152,140
70,product-682,21,34,50,177
71,product-702,21,35,11,205
72,product-215,21,39,121,84
73,product-137,21,66,53,26
74,product-180,21,66,48,85
75,product-1035,21,96,47,91
76,product-1088,22,30,114,189
77,product-159,22,63,205,182
78,product-615,22,70,251,196
79,product-133,22,71,116,54
80,product-1819,22,76,144,19
81,product-25,22,96,137,30
82,product-845,22,103,147,230
83,product-596,23,38,181,192
84,product-1734,23,78,204,156
85,product-1799,23,109,195,195
86,product-1075,23,118,270,229
87,product-1957,24,64,146,23
88,product-1975,24,70,74,147
89,product-1753,24,81,130,74
90,product-1987,24,88,59,83
91,product-620,24,101,93,57
92,product-353,24,117,213,114
93,product-359,25,25,157,96
94,product-770,25,31,97,71
95,product-1761,25,33,99,117
96,product-52,25,53,82,44
97,product-1185,25,53,153,75
98,product-1090,25,86,228,111
99,product-790,25,98,91,25
100,product-504,25,113,33,104
101,product-233,26,29,131,166
102,product-1424,26,53,125,46
103,product-516,26,55,151,96
104,product-1155,26,57,116,81
105,product-551,26,67,205,136
106,product-1732,26,68,189,150
107,product-237,26,73,97,183
108,product-797,26,100,92,131
109,product-870,26,106,65,167
110,product-266,26,119,37,57
111,product-1982,27,45,14,256
112,product-640,27,47,73,179
113,product-780,27,58,215,49
114,product-1877,27,61,255,19
115,product-97,27,67,89,111
116,product-1079,27,68,211,165
117,product-756,27,69,200,83
118,product-222,27,82,144,62
119,product-141,27,91,145,73
120,product-1269,27,98,170,60
121,product-1667,28,31,76,145
122,product-1331,28,41,64,112
123,product-1946,28,57,109,113
124,product-892,28,59,27,101
125,product-729,28,92,86,105
126,product-838,29,51,182,113
127,product-1645,29,80,25,120
128,product-1690,29,85,245,96
129,product-299,29,88,197,248
130,product-1435,29,119,232,168
131,product-621,30,37,99,216
132,product-816,30,37,13,16
133,product-1884,30,37,126,208
134,product-924,30,41,197,100
135,product-819,30,67,104,109
136,product-214,30,84,73,235
137,product-1933,30,97,125,216
138,product-789,30,107,89,198
139,product-1656,30,109,198,76
140,product-349,30,110,43,198
141,product-560,31,47,127,66
142,product-226,31,70,8,32
143,product-943,31,85,206,103
144,product-1905,31,99,102,59
145,product-1705,31,121,183,60
146,product-1780,31,127,171,71
147,product-459,32,61,171,27
148,product-123,32,66,101,177
149,product-1521,32,68,144,133
150,product-271,32,86,37,217
151,product-1772,32,100,49,97
152,product-1584,32,114,84,194
153,product-1410,33,64,45,97
154,product-300,33,78,171,210
155,product-1614,33,95,220,271
156,product-1402,33,112,128,54
157,product-1659,33,116,31,194
158,product-1948,34,36,148,187
159,product-21,34,37,120,53
160,product-1736,34,39,18,37
161,product-41,34,46,194,215
162,product-521,34,83,193,6
163,product-483,34,89,76,187
164,product-1188,34,89,67,174
165,product-358,34,117,154,193
166,product-873,34,126,234,173
167,product-784,35,35,177,82
168,product-1490,35,42,177,153
169,product-747,35,94,233,99
170,product-1787,35,114,202,197
171,product-228,36,90,36,85
172,product-1556,36,110,72,133
173,product-1964,36,117,64,245
174,product-1243,37,87,90,24
175,product-1368,37,87,203,143
176,product-1101,37,90,67,162
177,product-1341,37,104,8,105
178,product-339,37,105,109,71
179,product-975,37,112,233,245
180,product-822,37,114,127,32
181,product-1971,37,131,220,134
182,product-1022,37,132,40,169
183,product-1934,38,40,110,115
184,product-1432,38,63,128,98
185,product-1752,38,63,44,59
186,product-1548,38,78,193,50
187,product-1394,38,100,208,81
188,product-690,38,107,157,197
189,product-852,39,42,114,70
190,product-117,39,50,129,46
191,product-1169,39,78,45,228
192,product-88,39,84,138,182
193,product-977,39,90,186,103
194,product-363,39,115,64,156
195,product-1317,39,132,11,161
196,product-379,40,52,212,52
197,product-1119,40,53,93,52
198,product-1674,40,55,86,133
199,product-882,40,61,79,186
200,product-1896,40,65,211,154
201,product-1157,40,81,150,133
202,product-1903,40,95,14,84
203,product-373,40,119,46,148
204,product-273,41,46,113,67
205,product-515,41,82,104,63
206,product-610,41,84,18,200
207,product-726,41,88,198,150
208,product-1359,41,117,35,189
209,product-1559,41,118,66,210
210,product-723,41,123,90,106
211,product-1985,41,124,127,76
212,product-458,41,132,145,46
213,product-1737,42,51,46,178
214,product-1214,42,57,17,242
215,product-1555,42,63,144,115
216,product-626,42,71,273,191
217,product-1106,42,84,88,129
218,product-1127,42,103,187,178
219,product-1354,42,105,228,227
