ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,product-72502,0,75,43,34,30
2,product-254945,0,75,69,25,22
3,product-314246,0,62,55,0,22
4,product-104645,0,12,55,3,22
5,product-169945,0,75,51,20,28
6,product-78424,0,88,40,45,26
7,product-66566,0,38,35,2,23
8,product-139409,0,50,71,21,27
9,product-37757,0,88,55,34,25
10,product-221106,0,12,61,17,25
11,product-78381,0,88,45,11,25
12,product-11235,0,62,38,2,22
13,product-55786,0,62,45,3,22
14,product-104301,0,88,60,32,26
15,product-205693,0,12,56,9,26
16,product-31090,0,75,44,14,25
17,product-221311,0,88,25,0,22
18,product-37540,0,62,56,37,26
19,product-331370,0,25,53,14,25
20,product-205270,0,88,32,9,25
21,product-189164,0,50,69,6,22
22,product-67270,0,12,50,28,30
23,product-236436,0,38,40,0,22
24,product-204988,0,25,31,10,24
25,product-361576,0,75,76,63,48
26,product-312931,0,38,67,0,22
27,product-390175,0,50,36,2,22
28,product-139439,0,88,68,26,24
29,product-128014,0,12,61,30,26
30,product-142994,0,12,71,38,45
31,product-114058,0,62,56,14,23
32,product-114220,0,12,56,15,22
33,product-207481,0,12,59,21,22
34,product-105690,0,75,61,15,27
35,product-123967,0,12,63,0,22
36,product-88649,0,38,46,16,24
37,product-127798,0,62,61,32,25
38,product-359787,0,62,69,0,22
39,product-56993,0,38,53,11,22
40,product-41698,0,25,54,0,22
41,product-296880,0,88,80,46,33
42,product-65575,0,38,50,44,36
43,product-42116,0,38,51,22,25
44,product-41708,0,12,54,14,25
45,product-360198,0,75,64,17,22
46,product-220198,0,50,58,28,27
47,product-206748,0,38,59,24,22
48,product-123761,0,62,63,3,22
49,product-142828,0,62,71,38,45
50,product-104924,0,12,59,43,33
51,product-104923,0,62,59,44,33
52,product-104774,0,50,53,24,32
53,product-314676,0,25,51,12,29
54,product-78654,0,12,43,22,28
55,product-206224,0,50,31,35,39
56,product-206164,0,38,22,0,22
