ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology
1,product-104645,0,12,55,3,22
2,product-221106,0,12,61,17,25
3,product-205693,0,12,56,9,26
4,product-67270,0,12,50,28,30
5,product-128014,0,12,61,30,26
6,product-142994,0,12,71,38,45
7,product-114220,0,12,56,15,22
8,product-207481,0,12,59,21,22
9,product-123967,0,12,63,0,22
10,product-41708,0,12,54,14,25
11,product-104924,0,12,59,43,33
12,product-78654,0,12,43,22,28
13,product-42117,0,12,51,24,25
14,product-11062,0,12,38,0,22
15,product-167040,0,12,59,18,34
16,product-335185,0,12,67,4,23
17,product-311014,0,12,66,10,25
18,product-277055,0,12,61,3,22
19,product-37268,0,12,57,43,32
20,product-256793,0,12,35,30,25
21,product-299321,0,12,53,19,22
22,product-40549,0,12,54,17,27
23,product-149931,0,12,59,11,24
24,product-320407,0,12,61,54,25
25,product-320424,0,12,49,6,23
26,product-215302,0,12,61,0,22
27,product-110374,0,12,57,6,25
28,product-245256,0,12,63,4,22
29,product-134093,0,12,58,4,22
30,product-323321,0,12,62,2,22
31,product-183286,0,12,66,3,22
32,product-21145,0,12,46,20,26
33,product-113881,0,12,55,11,24
34,product-388603,0,12,31,0,22
35,product-11406,0,12,35,5,23
36,product-294778,0,12,45,0,22
37,product-82498,0,12,52,30,32
38,product-63744,0,12,43,33,22
39,product-22010,0,12,55,31,39
40,product-85817,0,12,45,0,22
41,product-218310,0,12,61,21,26
42,product-127295,0,12,68,34,27
43,product-326818,0,12,62,28,24
44,product-12989,0,12,47,23,34
45,product-162576,0,12,49,46,59
46,product-202371,0,12,31,22,28
47,product-120086,0,12,60,22,22
48,product-13665,0,12,41,24,25
49,product-98485,0,12,50,0,22
50,product-100622,0,12,58,2,22
51,product-74877,0,12,38,0,22
52,product-101111,0,12,58,6,22
53,product-145919,0,12,70,0,22
54,product-28866,0,12,42,15,22
55,product-202557,0,12,58,32,33
56,product-122406,0,12,55,0,22
57,product-120979,0,12,64,18,26
58,product-146248,0,12,68,2,22
59,product-94994,0,12,49,7,24
60,product-29379,0,12,43,13,23
61,product-331370,0,25,53,14,25
62,product-204988,0,25,31,10,24
63,product-41698,0,25,54,0,22
64,product-314676,0,25,51,12,29
65,product-10001,0,25,37,17,22
66,product-239668,0,25,63,23,24
67,product-334542,0,25,73,46,39
68,product-16180,0,25,44,2,23
69,product-332826,0,25,53,17,25
70,product-204208,0,25,58,0,22
71,product-372414,0,25,75,38,40
72,product-132460,0,25,60,0,22
73,product-138889,0,25,69,27,25
74,product-109408,0,25,65,24,24
