id,label,ts_in,ts_out
1,customer-1,151,186,70,177
2,customer-2,17,101,204,178
3,customer-3,166,228,127,129
4,customer-4,113,193,15,148
5,customer-5,99,195,191,247
6,customer-6,121,151,45,166
7,customer-7,52,55,103,113
8,customer-8,110,151,159,180
9,customer-9,162,253,116,38
10,customer-10,32,123,140,209
11,customer-11,190,233,95,36
12,customer-12,114,187,119,55
13,customer-13,69,159,196,163
14,customer-14,253,319,131,229
15,customer-15,73,148,234,122
16,customer-16,220,267,157,127
17,customer-17,19,93,33,211
18,customer-18,105,173,225,121
19,customer-19,126,144,64,118
20,customer-20,178,238,231,216
21,customer-21,137,206,130,186
22,customer-22,170,177,106,100
23,customer-23,158,158,179,144
24,customer-24,32,114,219,178
25,customer-25,175,212,119,189
26,customer-26,158,221,52,107
27,customer-27,111,183,190,109
28,customer-28,168,192,70,167
29,customer-29,157,166,77,130
30,customer-30,169,257,191,218
31,customer-31,130,198,8,128
32,customer-32,124,169,8,177
33,customer-33,58,69,104,195
34,customer-34,183,187,128,148
35,customer-35,7,74,166,56
36,customer-36,46,107,123,144
37,customer-37,187,256,98,146
38,customer-38,76,148,99,180
39,customer-39,40,125,113,220
40,customer-40,67,161,235,109
41,customer-41,162,246,39,132
42,customer-42,104,119,97,156
43,customer-43,125,166,111,138
44,customer-44,22,73,42,119
45,customer-45,137,180,153,78
46,customer-46,240,254,17,119
47,customer-47,261,272,28,18
48,customer-48,134,154,213,199
49,customer-49,115,157,118,24
50,customer-50,173,188,83,199
51,customer-51,162,241,29,129
52,customer-52,12,59,61,114
53,customer-53,6,93,151,213
54,customer-54,216,290,200,78
55,customer-55,167,250,52,220
56,customer-56,56,132,171,139
57,customer-57,98,98,136,69
58,customer-58,59,136,95,122
59,customer-59,180,184,184,32
60,customer-60,94,164,168,145
61,customer-61,0,153,187,150
62,customer-62,187,229,32,201
63,customer-63,81,86,153,32
64,customer-64,215,278,51,173
65,customer-65,63,144,176,90
66,customer-66,162,176,106,218
67,customer-67,97,112,24,181
68,customer-68,151,198,143,207
69,customer-69,204,231,92,101
70,customer-70,138,229,75,128
71,customer-71,87,113,165,101
72,customer-72,112,145,160,142
73,customer-73,161,162,220,121
74,customer-74,101,124,230,86
75,customer-75,117,209,92,39
76,customer-76,221,240,81,60
77,customer-77,162,206,133,180
78,customer-78,61,103,66,205
79,customer-79,156,157,220,204
80,customer-80,6,80,74,2
81,customer-81,155,214,231,134
82,customer-82,140,207,199,53
83,customer-83,77,113,141,186
84,customer-84,195,253,153,247
85,customer-85,138,209,63,82
86,customer-86,178,261,133,234
87,customer-87,232,248,160,137
88,customer-88,184,198,146,145
89,customer-89,132,208,75,164
90,customer-90,152,225,117,174
91,customer-91,123,199,122,179
92,customer-92,143,206,46,128
93,customer-93,187,256,179,50
94,customer-94,199,251,107,165
95,customer-95,118,178,104,254
96,customer-96,132,140,176,151
97,customer-97,150,178,8,215
98,customer-98,62,93,233,198
99,customer-99,105,144,120,110
100,customer-100,63,76,166,195
101,customer-101,118,192,24,125
102,customer-102,8,61,118,8
103,customer-103,196,249,91,67
104,customer-104,66,87,117,104
105,customer-105,217,266,147,36
106,customer-106,187,244,100,201
107,customer-107,195,293,113,135
108,customer-108,149,186,17,108
109,customer-109,113,117,131,100
110,customer-110,76,172,93,139
111,customer-111,104,176,121,19
112,customer-112,248,278,109,204
113,customer-113,90,139,31,271
114,customer-114,60,128,175,54
115,customer-115,67,82,157,28
116,customer-116,107,117,159,40
117,customer-117,13,26,127,39
118,customer-118,24,107,147,169
119,customer-119,7,9,117,87
120,customer-120,167,245,109,73
121,customer-121,164,221,185,81
122,customer-122,136,151,113,74
123,customer-123,144,212,108,74
124,customer-124,141,218,209,224
125,customer-125,122,131,140,246
126,customer-126,102,124,90,158
127,customer-127,45,93,68,154
128,customer-128,100,150,125,116
129,customer-129,8,9,48,102
130,customer-130,179,266,200,93
131,customer-131,185,200,182,9
132,customer-132,47,139,114,136
133,customer-133,149,169,28,48
134,customer-134,61,84,230,65
135,customer-135,101,130,147,33
136,customer-136,222,276,104,176
137,customer-137,75,167,85,123
138,customer-138,203,238,203,212
139,customer-139,214,263,188,175
140,customer-140,179,228,254,110
141,customer-141,239,305,147,72
142,customer-142,180,218,80,238
143,customer-143,201,243,113,57
144,customer-144,186,210,169,154
145,customer-145,133,146,177,185
146,customer-146,64,159,140,131
147,customer-147,126,202,161,231
148,customer-148,64,72,34,11
149,customer-149,182,200,209,65
150,customer-150,125,157,120,95
151,customer-151,93,127,106,206
152,customer-152,116,155,77,154
153,customer-153,227,252,18,170
154,customer-154,131,156,191,78
155,customer-155,191,253,121,133
156,customer-156,16,23,189,27
157,customer-157,159,256,167,170
158,customer-158,48,124,37,42
159,customer-159,56,104,59,108
160,customer-160,184,270,141,58
161,customer-161,145,202,170,105
162,customer-162,135,215,25,139
163,customer-163,191,259,171,129
164,customer-164,163,189,187,91
165,customer-165,12,14,238,106
166,customer-166,181,188,97,140
167,customer-167,151,164,67,89
168,customer-168,191,281,99,46
169,customer-169,209,304,223,196
170,customer-170,92,135,226,180
171,customer-171,54,143,78,42
172,customer-172,101,158,17,195
173,customer-173,194,273,181,244
174,customer-174,238,256,55,169
175,customer-175,184,257,117,129
176,customer-176,11,44,122,200
177,customer-177,144,239,250,172
178,customer-178,63,83,164,64
179,customer-179,15,23,169,124
180,customer-180,130,227,74,104
181,customer-181,228,232,165,127
182,customer-182,136,224,33,166
183,customer-183,187,253,91,209
184,customer-184,96,140,67,191
185,customer-185,33,43,42,184
186,customer-186,94,165,234,130
187,customer-187,77,89,164,57
188,customer-188,88,172,22,237
189,customer-189,149,207,141,187
190,customer-190,149,209,11,77
191,customer-191,109,123,87,184
192,customer-192,151,199,26,70
193,customer-193,131,216,48,61
194,customer-194,143,184,217,48
195,customer-195,30,117,158,73
196,customer-196,70,119,187,200
197,customer-197,122,178,106,255
198,customer-198,171,197,32,153
199,customer-199,236,244,134,197
200,customer-200,234,237,78,180
201,customer-201,57,142,133,128
202,customer-202,117,125,62,93
203,customer-203,244,330,137,132
204,customer-204,186,205,73,136
205,customer-205,182,248,99,56
206,customer-206,54,143,180,60
207,customer-207,133,213,208,121
208,customer-208,29,76,31,166
209,customer-209,103,108,106,204
210,customer-210,213,296,214,71
211,customer-211,144,187,98,226
212,customer-212,186,260,184,16
213,customer-213,207,237,48,199
214,customer-214,44,75,152,110
215,customer-215,112,174,164,149
216,customer-216,88,179,16,106
217,customer-217,179,207,22,184
218,customer-218,165,228,158,47
219,customer-219,86,153,64,75
220,customer-220,129,187,146,39
221,customer-221,22,72,94,48
222,customer-222,78,102,86,190
223,customer-223,38,118,106,33
224,customer-224,56,94,95,169
225,customer-225,92,104,103,143
226,customer-226,168,181,224,6
227,customer-227,161,208,131,182
228,customer-228,49,127,223,147
229,customer-229,27,87,13,113
230,customer-230,136,146,231,65
231,customer-231,56,60,133,175
232,customer-232,101,197,163,51
233,customer-233,48,57,256,136
234,customer-234,84,170,158,39
235,customer-235,55,109,75,25
236,customer-236,44,142,211,119
237,customer-237,144,162,115,67
238,customer-238,48,144,106,75
239,customer-239,166,228,171,220
240,customer-240,205,214,223,101
241,customer-241,35,97,97,169
242,customer-242,194,210,183,172
243,customer-243,168,175,92,21
244,customer-244,156,169,232,104
245,customer-245,182,209,72,70
246,customer-246,29,40,218,89
247,customer-247,181,249,92,223
248,customer-248,95,108,112,192
249,customer-249,199,199,189,116
250,customer-250,249,341,19,48
251,customer-251,195,232,98,210
252,customer-252,117,199,203,19
253,customer-253,144,208,227,40
254,customer-254,64,75,133,24
255,customer-255,174,183,179,140
256,customer-256,145,203,204,172
257,customer-257,173,249,217,181
258,customer-258,208,243,136,68
259,customer-259,98,116,159,94
260,customer-260,215,248,185,176
261,customer-261,147,204,157,215
262,customer-262,196,242,72,19
263,customer-263,141,208,104,218
264,customer-264,134,216,74,83
265,customer-265,73,120,171,197
266,customer-266,185,238,212,133
267,customer-267,60,96,147,103
268,customer-268,127,212,173,149
269,customer-269,143,164,176,47
270,customer-270,140,228,78,150
271,customer-271,72,120,183,23
272,customer-272,167,183,219,21
273,customer-273,145,231,59,143
274,customer-274,157,157,109,166
275,customer-275,38,136,54,224
276,customer-276,190,269,109,127
277,customer-277,132,217,121,75
278,customer-278,80,103,117,105
279,customer-279,138,206,188,31
280,customer-280,81,165,134,159
281,customer-281,89,172,126,104
282,customer-282,159,211,173,232
283,customer-283,139,230,23,39
284,customer-284,152,208,142,169
285,customer-285,220,253,248,179
286,customer-286,200,254,227,160
287,customer-287,4,19,178,231
288,customer-288,151,160,106,145
289,customer-289,169,243,79,111
290,customer-290,107,140,111,174
291,customer-291,126,201,87,183
292,customer-292,108,203,161,198
293,customer-293,150,236,198,159
294,customer-294,233,310,189,50
295,customer-295,130,199,96,196
296,customer-296,249,293,3,93
297,customer-297,36,39,168,31
298,customer-298,143,228,192,120
299,customer-299,146,214,112,235
300,customer-300,213,253,169,118
301,customer-301,234,268,38,170
302,customer-302,46,57,94,230
303,customer-303,169,246,78,109
304,customer-304,38,84,113,196
305,customer-305,92,129,178,101
306,customer-306,91,184,138,33
307,customer-307,137,184,235,178
308,customer-308,190,213,144,143
309,customer-309,99,183,91,219
310,customer-310,186,196,190,119
311,customer-311,168,170,23,47
312,customer-312,135,167,85,88
313,customer-313,150,169,190,134
314,customer-314,126,203,177,30
315,customer-315,214,283,132,114
316,customer-316,140,193,22,29
317,customer-317,143,230,70,62
318,customer-318,185,226,83,29
319,customer-319,25,77,159,203
