id,label,ts_in,ts_out,attr_1,attr_2,attr_3
1,product-14146,0,19,146,58,51
2,product-12218,0,31,153,50,42
3,product-11821,0,83,5,194,8
4,product-13390,0,129,109,91,90
5,product-4843,0,147,201,0,3
6,product-10146,0,183,6,7,196
7,product-82,1,1,107,96,97
8,product-4970,1,17,149,55,52
9,product-10236,1,28,58,144,61
10,product-14121,1,75,142,59,56
11,product-12082,1,85,79,77,121
12,product-11862,2,15,7,197,0
13,product-11952,2,31,105,96,90
14,product-1430,2,36,147,55,53
15,product-7646,2,55,20,24,175
16,product-12920,2,69,151,45,150
17,product-8073,2,79,167,31,34
18,product-3305,2,86,26,29,174
19,product-8850,2,92,179,17,19
20,product-2353,3,9,117,112,84
21,product-6992,3,18,104,94,107
22,product-13217,3,21,129,66,73
23,product-14803,3,28,85,88,110
24,product-11667,3,36,80,120,84
25,product-11060,3,40,130,71,71
26,product-11122,3,46,38,158,45
27,product-9090,3,58,57,146,141
28,product-8798,3,60,205,0,0
29,product-13561,3,80,142,56,59
30,product-3868,3,83,47,155,46
31,product-10169,3,84,140,63,142
32,product-6110,3,85,185,18,15
33,product-7281,3,92,100,97,101
34,product-13256,4,6,60,136,141
35,product-3089,4,9,96,98,106
36,product-9384,4,25,35,38,160
37,product-7834,4,27,0,0,212
38,product-3362,4,32,135,132,67
39,product-1089,4,35,128,70,130
40,product-14435,4,36,121,76,125
41,product-9556,4,74,149,150,46
42,product-531,4,75,26,169,35
43,product-7580,4,76,87,116,109
44,product-10904,4,77,109,118,86
45,product-4194,4,79,147,149,50
46,product-13169,4,85,9,187,15
47,product-4984,4,97,100,101,99
48,product-3684,5,7,167,163,38
49,product-5276,5,20,157,44,38
50,product-14484,5,20,0,0,237
51,product-2895,5,36,64,63,138
52,product-12176,5,37,168,162,33
53,product-2756,5,42,53,142,62
54,product-9329,5,44,14,183,14
55,product-5456,5,53,19,19,186
56,product-11275,5,65,56,62,143
57,product-12190,5,74,100,97,107
58,product-900,5,76,180,22,22
59,product-12230,5,84,68,134,68
60,product-13664,5,84,138,57,147
61,product-2329,5,93,210,0,0
62,product-6171,6,9,60,138,145
63,product-9963,6,11,46,53,150
64,product-11076,6,20,142,57,139
65,product-7272,6,26,99,93,103
66,product-1041,6,32,62,58,137
67,product-1639,6,32,171,26,31
68,product-2921,6,34,180,17,184
69,product-949,6,41,0,0,214
70,product-11865,6,67,119,81,78
71,product-12159,6,68,154,45,150
72,product-14610,6,75,34,38,167
73,product-5490,6,87,134,63,68
74,product-8143,6,87,17,188,9
75,product-3561,6,90,74,125,71
76,product-7863,6,93,48,150,53
77,product-3521,6,97,20,181,21
78,product-4336,7,12,112,89,110
79,product-1495,7,18,26,176,178
80,product-2616,7,19,32,34,171
81,product-2487,7,32,75,124,122
82,product-7195,7,50,15,16,189
83,product-7494,7,58,78,79,124
84,product-7867,7,61,89,112,108
85,product-2874,7,62,187,12,14
86,product-11552,7,63,30,173,28
87,product-917,7,67,28,171,30
88,product-2335,7,69,62,59,137
89,product-8725,7,79,0,202,0
90,product-130,7,88,0,215,0
91,product-10241,7,88,7,193,3
92,product-7129,7,90,131,131,71
93,product-7145,7,92,15,22,181
94,product-8715,7,92,25,174,24
95,product-7219,7,94,67,65,136
96,product-7283,8,10,79,77,126
97,product-5029,8,15,0,199,3
98,product-3867,8,18,187,14,16
99,product-6010,8,22,97,105,99
100,product-11664,8,22,189,189,12
101,product-10142,8,31,84,118,117
102,product-10724,8,35,37,37,160
103,product-3062,8,42,196,1,1
104,product-2440,8,50,65,136,137
105,product-11058,8,53,56,142,144
106,product-13064,8,54,96,99,102
107,product-3260,8,60,176,24,25
108,product-12582,8,63,1,2,200
109,product-4615,8,65,187,9,191
110,product-8081,8,68,156,159,42
111,product-14510,8,74,46,41,156
112,product-3796,8,75,4,191,13
113,product-8762,8,79,146,50,51
114,product-13962,8,79,187,8,12
115,product-76,8,84,34,166,34
116,product-3264,8,96,183,186,15
117,product-14735,8,102,171,29,29
118,product-5834,9,10,92,103,103
119,product-11575,9,10,101,103,101
120,product-12430,9,12,131,67,131
121,product-3584,9,26,30,166,173
122,product-158,9,35,154,47,51
123,product-8617,9,42,109,106,89
124,product-7544,9,46,165,166,37
125,product-11461,9,47,75,120,128
126,product-5861,9,49,187,9,10
127,product-10441,9,49,0,198,7
128,product-3801,9,61,80,82,117
129,product-10752,9,65,177,25,28
130,product-14024,9,71,181,21,20
131,product-3710,9,74,74,123,75
132,product-13683,9,81,52,150,147
133,product-12128,9,82,10,10,190
134,product-2313,9,88,169,32,28
135,product-3980,9,101,239,0,0
136,product-7837,10,13,38,161,43
137,product-11129,10,14,122,76,77
138,product-473,10,18,120,122,80
139,product-8817,10,20,14,9,186
140,product-2074,10,22,45,151,153
141,product-10250,10,24,219,0,0
142,product-6956,10,26,1,204,0
143,product-8162,10,35,46,159,44
144,product-14492,10,35,73,73,124
145,product-14920,10,36,47,148,55
146,product-14404,10,39,0,200,4
147,product-7975,10,47,164,35,31
148,product-977,10,52,50,148,55
149,product-1646,10,58,249,0,0
150,product-7749,10,66,74,76,124
151,product-538,10,69,55,147,58
152,product-5483,10,72,43,154,43
153,product-3278,10,75,32,28,173
154,product-13057,10,78,65,130,67
155,product-5543,10,80,29,169,28
156,product-8679,10,86,129,123,73
157,product-6449,10,92,57,148,145
158,product-9163,10,93,33,164,39
159,product-13818,10,99,99,106,91
160,product-4924,10,101,114,112,87
161,product-5056,11,17,222,0,0
162,product-11235,11,18,8,196,7
163,product-2288,11,20,117,118,84
164,product-13362,11,23,0,214,0
165,product-13446,11,28,50,149,146
166,product-10669,11,32,92,107,91
167,product-13912,11,37,5,192,196
168,product-10597,11,40,139,61,138
169,product-11746,11,48,57,61,142
170,product-2955,11,50,43,161,160
171,product-14255,11,50,117,87,84
172,product-1036,11,55,152,51,148
173,product-9234,11,55,6,196,1
174,product-9532,11,59,106,92,106
175,product-6236,11,64,19,183,15
176,product-11260,11,64,135,60,139
177,product-8738,11,66,166,173,30
178,product-10542,11,69,66,71,131
179,product-12853,11,70,108,87,118
180,product-7082,11,76,179,23,17
181,product-176,11,77,75,127,76
182,product-14160,11,82,205,0,0
183,product-849,11,85,159,43,153
184,product-12787,11,105,57,148,57
185,product-8301,11,108,156,165,39
186,product-6824,12,12,115,119,86
187,product-1575,12,19,170,174,26
188,product-626,12,21,81,114,87
189,product-4044,12,21,38,164,160
190,product-8481,12,24,0,0,204
191,product-7983,12,28,155,48,148
192,product-6979,12,31,79,120,117
193,product-12178,12,31,98,98,100
194,product-12992,12,33,271,0,0
195,product-5331,12,35,119,118,80
196,product-4819,12,37,100,106,95
197,product-9762,12,37,78,72,123
198,product-5945,12,39,124,72,125
199,product-12236,12,39,92,110,110
200,product-5181,12,46,175,24,25
201,product-3045,12,47,134,139,62
202,product-10090,12,51,14,187,11
203,product-8445,12,55,80,75,121
204,product-117,12,56,160,36,162
205,product-8607,12,62,17,179,178
206,product-10418,12,64,161,42,38
207,product-230,12,65,234,0,0
208,product-13905,12,65,4,201,0
209,product-631,12,68,79,73,126
210,product-11529,12,68,224,0,0
211,product-8693,12,75,0,201,0
212,product-8257,12,78,134,63,62
213,product-8062,12,87,86,111,89
214,product-11340,12,90,207,0,0
215,product-4813,12,92,36,163,167
216,product-3460,12,93,197,5,0
217,product-7774,12,93,0,245,0
218,product-9071,12,101,139,66,60
219,product-103,12,104,157,42,154
220,product-5298,12,106,183,18,14
221,product-479,13,18,27,28,173
222,product-2375,13,18,115,81,114
223,product-5030,13,20,81,121,114
224,product-9495,13,32,107,88,92
225,product-3287,13,33,62,56,139
226,product-5324,13,34,85,118,114
227,product-11338,13,34,35,166,170
228,product-6271,13,36,189,12,16
229,product-4765,13,45,90,89,111
230,product-12649,13,45,49,55,148
231,product-14862,13,45,89,88,112
232,product-8447,13,54,185,15,184
233,product-13794,13,56,39,39,157
234,product-7354,13,66,185,15,17
235,product-7484,13,73,55,150,47
236,product-12569,13,75,175,26,26
237,product-1630,13,79,144,57,51
238,product-9317,13,79,29,174,27
239,product-4903,13,85,226,0,0
240,product-8501,13,85,86,119,114
