ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology
1,customer-232906,0,1,5,21,22
2,customer-232907,0,1,92,27,22
3,customer-2153,0,1,5,21,22
4,customer-240772,0,2,3,27,22
5,customer-240322,0,2,10,20,22
6,customer-233333,0,2,83,32,22
7,customer-233332,0,2,89,24,22
8,customer-233749,0,2,78,24,22
9,customer-235369,0,3,88,18,22
10,customer-234967,0,3,75,26,22
11,customer-241678,0,3,10,36,22
12,customer-241669,0,3,95,26,22
13,customer-241224,0,3,6,44,22
14,customer-241217,0,3,98,38,22
15,customer-242576,0,3,96,21,22
16,customer-242588,0,3,18,39,22
17,customer-242125,0,3,8,44,22
18,customer-242114,0,3,99,9,22
19,customer-242126,0,3,2,6,22
20,customer-240316,0,3,90,23,22
21,customer-240766,0,3,89,39,22
22,customer-239883,0,3,95,8,22
23,customer-234157,0,3,73,36,22
24,customer-234558,0,3,71,39,22
25,customer-234557,0,3,78,23,22
26,customer-233750,0,3,75,42,22
27,customer-236541,0,4,1,18,22
28,customer-236147,0,4,92,27,22
29,customer-235763,0,4,95,24,22
30,customer-241671,0,4,95,45,22
31,customer-241670,0,4,96,39,22
32,customer-241216,0,4,46,5,22
33,customer-242115,0,4,91,36,22
34,customer-242113,0,4,12,2,22
35,customer-238607,0,4,16,15,22
36,customer-239030,0,4,98,5,22
37,customer-239461,0,4,97,2,22
38,customer-232035,0,4,39,8,22
39,customer-232473,0,4,36,18,22
40,customer-2181,0,4,23,29,22
41,customer-2314,0,4,89,26,22
42,customer-2709,0,4,96,20,22
43,customer-2413,0,4,9,33,22
44,customer-2524,0,4,59,11,22
45,customer-236936,0,5,1,23,22
46,customer-237749,0,5,6,17,22
47,customer-237746,0,5,24,11,22
48,customer-237745,0,5,8,35,22
49,customer-237332,0,5,91,17,22
50,customer-237331,0,5,14,38,22
51,customer-237336,0,5,2,26,22
52,customer-237337,0,5,1,30,22
53,customer-234965,0,5,3,45,22
54,customer-234964,0,5,5,52,22
55,customer-238606,0,5,12,42,22
56,customer-238176,0,5,19,27,22
57,customer-227805,0,5,32,30,22
58,customer-228273,0,5,29,18,22
59,customer-228743,0,5,31,6,22
60,customer-234156,0,5,13,38,22
61,customer-234556,0,5,8,39,22
62,customer-233748,0,5,15,38,22
63,customer-230181,0,5,31,11,22
64,customer-2333,0,5,24,30,22
65,customer-231130,0,5,36,11,22
66,customer-237750,0,6,96,29,22
67,customer-238611,0,6,6,26,22
68,customer-238612,0,6,94,33,22
69,customer-238179,0,6,96,24,22
70,customer-239034,0,7,99,30,22
71,customer-239466,0,7,94,33,22
72,customer-227322,0,7,90,29,22
73,customer-227789,0,7,68,8,22
74,customer-227782,0,7,97,20,22
75,customer-227781,0,7,0,14,22
76,customer-229205,0,7,73,15,22
77,customer-228255,0,7,67,26,22
78,customer-228246,0,7,94,15,22
79,customer-228714,0,7,93,15,22
80,customer-224187,0,7,73,18,22
81,customer-222482,0,7,64,32,22
82,customer-222483,0,7,65,47,22
83,customer-224628,0,7,72,38,22
84,customer-224627,0,7,78,12,22
85,customer-222902,0,7,68,36,22
86,customer-225963,0,7,78,24,22
87,customer-225055,0,7,77,29,22
88,customer-225053,0,7,86,6,22
89,customer-225506,0,7,96,15,22
90,customer-225508,0,7,79,24,22
91,customer-3119,0,7,12,38,22
92,customer-3049,0,7,35,15,22
93,customer-3048,0,7,29,15,22
94,customer-3084,0,7,6,5,22
95,customer-3152,0,7,14,33,22
96,customer-1952,0,7,99,9,22
97,customer-1976,0,7,20,17,22
98,customer-1965,0,7,13,12,22
99,customer-2055,0,7,10,3,22
100,customer-1989,0,7,22,24,22
101,customer-2016,0,7,15,18,22
102,customer-2028,0,7,8,9,22
103,customer-2643,0,7,84,27,22
104,customer-2665,0,7,94,24,22
105,customer-235343,0,8,94,47,22
106,customer-234946,0,8,94,36,22
107,customer-234945,0,8,92,30,22
108,customer-240326,0,8,5,26,22
109,customer-239889,0,8,90,35,22
110,customer-226865,0,8,90,39,22
111,customer-229192,0,8,92,23,22
112,customer-3151,0,8,26,18,22
113,customer-3217,0,8,95,20,22
114,customer-3216,0,8,28,18,22
115,customer-3250,0,8,5,17,22
116,customer-3189,0,8,98,15,22
117,customer-233317,0,8,85,36,22
118,customer-234143,0,8,84,39,22
119,customer-234541,0,8,89,30,22
120,customer-2126,0,8,72,24,22
121,customer-2125,0,8,97,6,22
122,customer-2123,0,8,99,38,22
123,customer-230169,0,8,2,21,22
124,customer-230168,0,8,92,8,22
125,customer-2107,0,8,64,6,22
126,customer-230654,0,8,61,11,22
127,customer-230653,0,8,85,9,22
128,customer-230648,0,8,61,15,22
129,customer-230647,0,8,91,9,22
130,customer-2104,0,8,16,6,22
131,customer-2103,0,8,8,14,22
132,customer-229692,0,8,66,5,22
133,customer-229691,0,8,44,6,22
134,customer-229690,0,8,39,24,22
135,customer-229671,0,8,89,29,22
136,customer-2073,0,8,16,14,22
137,customer-230156,0,8,84,29,22
138,customer-2074,0,8,71,24,22
139,customer-2002,0,8,19,35,22
140,customer-2037,0,8,16,35,22
141,customer-231579,0,8,84,29,22
142,customer-2694,0,8,1,33,22
143,customer-231120,0,8,90,17,22
144,customer-231118,0,8,57,2,22
145,customer-262166,0,9,8,17,22
146,customer-260761,0,9,28,39,22
147,customer-261691,0,9,4,18,22
148,customer-261690,0,9,28,33,22
149,customer-236923,0,9,45,3,22
150,customer-236530,0,9,79,8,22
151,customer-237735,0,9,88,17,22
152,customer-237734,0,9,31,9,22
153,customer-237323,0,9,86,20,22
154,customer-237322,0,9,28,5,22
155,customer-235353,0,9,23,18,22
156,customer-236126,0,9,91,35,22
157,customer-236131,0,9,28,6,22
158,customer-235746,0,9,21,15,22
159,customer-240778,0,9,1,30,22
160,customer-241230,0,9,97,36,22
161,customer-242607,0,9,54,18,22
162,customer-239017,0,9,30,18,22
163,customer-238163,0,9,89,11,22
164,customer-240327,0,9,88,39,22
165,customer-232897,0,9,14,8,22
166,customer-3249,0,9,29,24,22
167,customer-232026,0,9,81,18,22
168,customer-232465,0,9,84,17,22
169,customer-3584,0,9,28,26,22
170,customer-3547,0,9,17,18,22
171,customer-3329,0,9,97,11,22
172,customer-233739,0,9,42,14,22
173,customer-3277,0,9,35,29,22
174,customer-3302,0,9,36,26,22
175,customer-2180,0,9,36,20,22
176,customer-2208,0,9,34,6,22
177,customer-2152,0,9,14,14,22
178,customer-230655,0,9,59,29,22
179,customer-2312,0,9,35,26,22
180,customer-2246,0,9,22,15,22
181,customer-2087,0,9,8,36,22
182,customer-2739,0,9,4,21,22
183,customer-2426,0,9,28,26,22
184,customer-2427,0,9,17,9,22
185,customer-2448,0,9,27,15,22
186,customer-2520,0,9,98,15,22
187,customer-2519,0,9,7,17,22
188,customer-231121,0,9,60,18,22
189,customer-2466,0,9,39,8,22
190,customer-2504,0,9,86,12,22
191,customer-2501,0,9,14,12,22
192,customer-2486,0,9,75,3,22
193,customer-252181,0,9,97,24,22
194,customer-262636,0,10,28,33,22
195,customer-263585,0,10,0,23,22
196,customer-260747,0,10,92,27,22
197,customer-3753,0,10,21,18,22
198,customer-241693,0,10,67,21,22
199,customer-241656,0,10,89,24,22
200,customer-241684,0,10,95,41,22
201,customer-241692,0,10,46,24,22
202,customer-241657,0,10,87,27,22
203,customer-241240,0,10,57,15,22
204,customer-242142,0,10,51,20,22
205,customer-240308,0,10,57,39,22
206,customer-3188,0,10,24,36,22
207,customer-2876,0,10,94,12,22
208,customer-2907,0,10,21,9,22
209,customer-2802,0,10,86,15,22
210,customer-2849,0,10,85,24,22
211,customer-3582,0,10,18,8,22
212,customer-3503,0,10,89,26,22
213,customer-3502,0,10,2,8,22
214,customer-3709,0,10,12,17,22
215,customer-3457,0,10,91,12,22
216,customer-3423,0,10,89,26,22
217,customer-2588,0,10,90,35,22
218,customer-2587,0,10,97,15,22
219,customer-2613,0,10,27,8,22
220,customer-2447,0,10,55,44,22
221,customer-2446,0,10,52,14,22
222,customer-2445,0,10,49,11,22
223,customer-2521,0,10,88,27,22
224,customer-2518,0,10,8,24,22
225,customer-2537,0,10,24,29,22
226,customer-2538,0,10,71,17,22
227,customer-2555,0,10,71,12,22
228,customer-2481,0,10,16,11,22
229,customer-2464,0,10,55,23,22
230,customer-2463,0,10,38,3,22
231,customer-2460,0,10,94,23,22
232,customer-2459,0,10,30,3,22
233,customer-2458,0,10,36,33,22
234,customer-2505,0,10,85,23,22
235,customer-2484,0,10,50,11,22
236,customer-2499,0,10,84,11,22
237,customer-2498,0,10,29,32,22
238,customer-253586,0,10,100,30,22
239,customer-253125,0,10,5,36,22
240,customer-253126,0,10,92,27,22
241,customer-262148,0,11,89,33,22
242,customer-262147,0,11,98,15,22
243,customer-263571,0,11,92,30,22
244,customer-236914,0,11,9,15,22
245,customer-237314,0,11,6,33,22
246,customer-3804,0,11,19,26,22
247,customer-3802,0,11,2,15,22
248,customer-3752,0,11,94,12,22
249,customer-3935,0,11,19,17,22
250,customer-242563,0,11,91,32,22
251,customer-242098,0,11,91,30,22
252,customer-242099,0,11,85,32,22
253,customer-242132,0,11,94,44,22
254,customer-3115,0,11,17,12,22
255,customer-3149,0,11,16,33,22
256,customer-3142,0,11,22,15,22
257,customer-3150,0,11,21,32,22
258,customer-3079,0,11,24,20,22
259,customer-3040,0,11,78,14,22
260,customer-2877,0,11,87,36,22
261,customer-2861,0,11,89,17,22
262,customer-2908,0,11,87,27,22
263,customer-2895,0,11,91,14,22
264,customer-2819,0,11,81,39,22
265,customer-2809,0,11,75,14,22
266,customer-2834,0,11,20,3,22
267,customer-2983,0,11,19,12,22
268,customer-2929,0,11,76,5,22
269,customer-2967,0,11,81,14,22
270,customer-2949,0,11,88,14,22
271,customer-3705,0,11,88,23,22
272,customer-3620,0,11,91,20,22
273,customer-2640,0,11,74,12,22
274,customer-2663,0,11,64,30,22
275,customer-2662,0,11,52,5,22
276,customer-2748,0,11,21,3,22
277,customer-2767,0,11,16,2,22
278,customer-2768,0,11,32,36,22
279,customer-2769,0,11,73,3,22
280,customer-2780,0,11,40,20,22
281,customer-2691,0,11,65,32,22
282,customer-2703,0,11,87,26,22
283,customer-2680,0,11,60,32,22
284,customer-2731,0,11,2,14,22
285,customer-2705,0,11,77,18,22
286,customer-253554,0,11,86,29,22
287,customer-254036,0,11,91,39,22
288,customer-254035,0,11,2,38,22
289,customer-253990,0,11,89,12,22
290,customer-252132,0,11,27,8,22
291,customer-263093,0,12,86,32,22
292,customer-264584,0,12,13,35,22
293,customer-265090,0,12,31,12,22
294,customer-266126,0,12,34,17,22
295,customer-265645,0,12,5,29,22
296,customer-237728,0,12,8,30,22
297,customer-237305,0,12,9,15,22
298,customer-4023,0,12,9,9,22
299,customer-3976,0,12,11,32,22
