id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5
1,product-519,0,166,38,13,171,209,35
2,product-1682,4,23,29,120,136,198,145
3,product-1424,5,86,159,80,103,85,127
4,product-1889,6,68,45,54,171,155,136
5,product-589,7,73,168,52,263,208,164
6,product-771,8,27,37,170,174,57,213
7,product-358,8,74,29,75,230,32,113
8,product-1830,8,81,137,210,200,14,131
9,product-370,8,82,163,78,57,84,142
10,product-1815,9,41,45,238,90,184,143
11,product-1696,9,61,211,110,141,20,49
12,product-937,9,87,128,200,210,84,103
13,product-1768,11,30,102,54,239,25,83
14,product-1503,11,101,195,76,166,241,124
15,product-382,12,29,97,38,227,157,76
16,product-1677,12,53,113,201,196,173,109
17,product-866,12,90,83,219,64,28,144
18,product-418,12,107,42,104,4,50,36
19,product-676,13,13,25,96,121,183,123
20,product-1279,13,42,178,202,122,196,130
21,product-357,13,67,251,250,235,115,89
22,product-1844,14,78,208,66,206,132,118
23,product-480,14,83,82,216,81,251,234
24,product-667,14,99,178,234,170,150,272
25,product-1566,15,38,155,58,213,4,220
26,product-934,15,91,201,64,146,84,39
27,product-51,16,19,277,101,49,160,182
28,product-972,16,19,60,188,90,81,36
29,product-1342,16,42,179,217,74,45,188
30,product-74,16,53,90,134,100,54,82
31,product-1875,16,55,92,171,99,57,100
32,product-1683,16,75,15,187,59,222,71
33,product-1240,16,84,164,223,135,192,145
34,product-810,17,30,70,140,126,148,219
35,product-752,17,34,146,165,52,101,6
36,product-482,17,42,29,98,157,108,184
37,product-394,17,49,67,217,195,103,140
38,product-699,17,58,146,8,225,104,69
39,product-533,18,29,31,110,61,154,161
40,product-1792,18,36,16,11,26,74,94
41,product-1951,18,50,151,95,193,198,157
42,product-791,18,51,144,151,187,182,3
43,product-799,18,68,95,146,32,88,139
44,product-1704,18,79,25,44,177,222,96
45,product-216,18,110,202,9,276,186,195
46,product-582,19,41,142,204,30,53,18
47,product-39,19,54,88,93,98,248,228
48,product-146,19,69,22,157,80,109,271
49,product-1537,19,98,25,208,53,26,233
50,product-1519,19,100,135,233,51,17,205
51,product-1238,20,61,229,5,229,89,142
52,product-974,20,63,270,56,205,120,36
53,product-268,20,70,61,94,225,55,119
54,product-65,20,93,109,96,75,95,136
55,product-440,20,98,240,222,144,276,127
56,product-1695,21,28,161,184,182,77,23
57,product-1700,21,57,223,200,76,33,43
58,product-89,21,62,178,146,147,225,197
59,product-1251,21,70,145,157,47,38,212
60,product-1929,21,82,88,92,50,117,102
61,product-258,21,96,120,188,177,192,188
62,product-837,22,31,157,122,176,1,37
63,product-906,22,60,104,51,73,213,93
64,product-1543,22,69,174,35,7,121,172
65,product-758,22,93,222,126,86,181,56
66,product-736,22,96,159,203,197,78,198
67,product-1541,22,111,94,124,125,126,146
68,product-50,23,24,100,85,95,95,164
69,product-1514,23,40,125,155,60,43,167
70,product-1328,23,79,67,49,63,100,206
71,product-210,23,82,171,146,195,173,147
72,product-783,23,105,155,65,169,150,165
73,product-1333,24,34,89,190,159,130,252
74,product-530,24,50,138,10,32,78,23
75,product-1000,24,56,57,53,243,168,64
76,product-1041,24,81,250,35,73,87,101
77,product-1526,24,95,142,133,25,139,116
78,product-968,24,99,142,141,93,128,91
79,product-1274,25,27,158,111,138,187,161
80,product-845,25,54,214,208,140,68,13
81,product-175,25,73,257,125,69,66,137
82,product-976,25,82,176,144,158,138,191
83,product-425,26,54,181,85,36,210,7
84,product-1485,26,54,82,32,88,200,116
85,product-1500,26,57,31,95,185,52,186
86,product-1554,26,57,192,85,120,121,57
87,product-219,26,59,147,148,202,157,195
88,product-598,26,63,191,64,167,131,165
89,product-499,26,67,17,221,103,162,129
90,product-1187,26,88,253,194,237,123,28
91,product-883,26,105,42,98,199,74,45
92,product-808,27,34,101,93,140,186,151
93,product-1507,27,34,15,84,45,258,149
94,product-692,27,37,148,76,196,189,23
95,product-143,27,54,299,145,178,176,123
96,product-1128,27,55,165,211,126,146,151
97,product-621,27,59,184,91,180,154,79
98,product-283,28,45,214,188,142,208,155
99,product-1831,28,61,202,200,60,225,53
