ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope
1,customer-262166,0,9,8,17
2,customer-260761,0,9,28,39
3,customer-261691,0,9,4,18
4,customer-261690,0,9,28,33
5,customer-262636,0,10,28,33
6,customer-263585,0,10,0,23
7,customer-260747,0,10,92,27
8,customer-262148,0,11,89,33
9,customer-262147,0,11,98,15
10,customer-263571,0,11,92,30
11,customer-263093,0,12,86,32
12,customer-260670,0,13,6,29
13,customer-260240,0,13,96,14
14,customer-260239,0,13,28,18
15,customer-267165,0,13,95,17
16,customer-269312,0,14,5,21
17,customer-269834,0,14,9,23
18,customer-262564,0,14,15,23
19,customer-262080,0,14,9,11
20,customer-262085,0,14,5,9
21,customer-260660,0,14,2,30
22,customer-260689,0,14,3,8
23,customer-260690,0,14,90,23
24,customer-260691,0,14,90,29
25,customer-260692,0,14,92,23
26,customer-260220,0,14,9,23
27,customer-260212,0,14,92,39
28,customer-260211,0,14,95,17
29,customer-261616,0,14,28,18
30,customer-261138,0,14,18,12
31,customer-267207,0,14,10,38
32,customer-267206,0,14,13,38
33,customer-267187,0,14,16,30
34,customer-271945,0,15,24,29
35,customer-269826,0,15,9,20
36,customer-270360,0,15,16,20
37,customer-270349,0,15,4,33
38,customer-262092,0,15,98,23
39,customer-263033,0,15,3,20
40,customer-260661,0,15,92,38
41,customer-260653,0,15,91,33
42,customer-260207,0,15,44,12
43,customer-260206,0,15,96,18
44,customer-260205,0,15,99,8
45,customer-261621,0,15,1,18
46,customer-261622,0,15,97,17
47,customer-261114,0,15,14,5
48,customer-261113,0,15,51,27
49,customer-261153,0,15,95,24
50,customer-261154,0,15,97,18
51,customer-261112,0,15,51,20
52,customer-261111,0,15,1,23
53,customer-272471,0,16,33,33
54,customer-274518,0,16,6,18
55,customer-273498,0,16,93,23
56,customer-269209,0,16,23,12
57,customer-270253,0,16,3,14
58,customer-262576,0,16,99,23
59,customer-262532,0,16,57,35
60,customer-260701,0,16,98,24
61,customer-260640,0,16,92,26
62,customer-260639,0,16,19,5
63,customer-260250,0,16,90,24
64,customer-272519,0,17,18,35
65,customer-272884,0,17,71,15
66,customer-271931,0,17,89,32
67,customer-273405,0,17,62,3
68,customer-273389,0,17,84,26
69,customer-268802,0,17,16,45
70,customer-268786,0,17,18,27
71,customer-270267,0,17,17,8
72,customer-275596,0,17,95,27
73,customer-275595,0,17,30,21
74,customer-263518,0,17,4,26
75,customer-264016,0,17,96,27
76,customer-264015,0,17,6,30
77,customer-263967,0,17,85,20
78,customer-260638,0,17,44,38
79,customer-260636,0,17,13,12
80,customer-261630,0,17,93,30
81,customer-261629,0,17,3,33
82,customer-261084,0,17,38,8
83,customer-261161,0,17,2,29
84,customer-272518,0,18,26,35
85,customer-272517,0,18,30,35
86,customer-273995,0,18,23,30
87,customer-273919,0,18,84,14
88,customer-273905,0,18,90,32
89,customer-274430,0,18,86,21
90,customer-274429,0,18,12,11
91,customer-274412,0,18,95,36
92,customer-274411,0,18,98,27
93,customer-273406,0,18,79,27
94,customer-269850,0,18,10,26
95,customer-278320,0,18,14,5
96,customer-275499,0,18,6,12
97,customer-275481,0,18,7,9
98,customer-274954,0,18,98,15
99,customer-274953,0,18,19,9
100,customer-274952,0,18,38,12
101,customer-274936,0,18,99,24
102,customer-274935,0,18,22,14
103,customer-276050,0,18,96,17
104,customer-276147,0,18,12,11
105,customer-262583,0,18,3,35
106,customer-262531,0,18,24,30
107,customer-262044,0,18,16,20
108,customer-262042,0,18,8,12
109,customer-262041,0,18,1,18
110,customer-262099,0,18,99,32
111,customer-263443,0,18,2,5
112,customer-263468,0,18,60,12
113,customer-263475,0,18,63,21
