ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,customer-129138,0,39,15,3,22,19,87
2,customer-387497,0,63,78,15,22,21,76
3,customer-126864,0,50,34,5,22,40,88
4,customer-387496,0,62,81,18,22,22,74
5,customer-317944,0,72,87,27,22,50,66
6,customer-317945,0,73,85,26,22,49,67
7,customer-469249,0,64,91,11,22,11,80
8,customer-272528,0,70,25,12,22,53,91
9,customer-126847,0,51,5,18,22,44,83
10,customer-126846,0,51,9,11,22,45,86
11,customer-126845,0,52,26,14,22,45,92
12,customer-317946,0,73,82,32,22,49,61
13,customer-158501,0,50,2,15,22,20,82
14,customer-469289,0,66,18,12,22,22,90
15,customer-469290,0,66,96,8,22,22,83
16,customer-202918,0,67,13,12,22,78,88
17,customer-202919,0,67,11,12,22,77,87
18,customer-126799,0,55,11,20,22,59,87
19,customer-272519,0,17,18,35,22,7,92
20,customer-469308,0,67,89,5,22,13,83
21,customer-272518,0,18,26,35,22,7,98
22,customer-272517,0,18,30,35,22,7,99
23,customer-469070,0,60,59,15,22,39,83
24,customer-469069,0,60,59,17,22,39,83
25,customer-469068,0,60,59,18,22,39,82
26,customer-202914,0,67,9,5,22,79,86
27,customer-158477,0,54,99,14,22,30,81
28,customer-202855,0,70,84,6,22,76,82
29,customer-18159,0,40,94,18,22,25,76
30,customer-18158,0,40,13,11,22,26,88
31,customer-272577,0,54,16,5,22,20,87
32,customer-42453,0,34,6,17,22,10,84
33,customer-469016,0,51,98,23,22,15,77
34,customer-469017,0,51,99,21,22,16,78
35,customer-42452,0,34,24,12,22,10,92
36,customer-272554,0,67,1,21,22,42,79
37,customer-272516,0,19,30,36,22,7,99
38,customer-317943,0,72,88,30,22,50,64
39,customer-272551,0,67,6,14,22,43,84
40,customer-126865,0,50,90,3,22,40,84
41,customer-272550,0,67,3,8,22,44,84
42,customer-469060,0,59,54,21,22,35,85
43,customer-469061,0,59,57,24,22,36,83
44,customer-469062,0,59,59,24,22,36,80
45,customer-469063,0,59,61,23,22,36,80
46,customer-272549,0,68,9,5,22,44,86
47,customer-387498,0,63,75,11,22,21,80
48,customer-202913,0,67,16,6,22,79,88
49,customer-387499,0,63,69,8,22,21,82
50,customer-158476,0,54,0,9,22,31,83
51,customer-18108,0,43,95,38,22,47,63
52,customer-387478,0,61,67,8,22,28,83
53,customer-51756,0,54,76,12,22,68,78
54,customer-158541,0,58,0,5,22,72,85
55,customer-126739,0,50,21,14,22,77,91
56,customer-202985,0,66,0,6,22,52,84
57,customer-272409,0,27,15,6,22,14,87
58,customer-126716,0,51,0,8,22,72,83
59,customer-76696,0,44,62,11,22,42,83
60,customer-18063,0,49,0,18,22,65,80
61,customer-18062,0,49,97,12,22,66,81
62,customer-272398,0,26,93,26,22,15,70
63,customer-272397,0,26,14,17,22,15,88
64,customer-76695,0,45,31,15,22,42,94
65,customer-469649,0,67,99,5,22,13,85
66,customer-469650,0,67,83,8,22,13,81
67,customer-202996,0,68,92,12,22,48,79
68,customer-469676,0,52,13,27,22,14,88
69,customer-202997,0,68,89,14,22,48,78
70,customer-183911,0,50,14,24,22,7,89
71,customer-272329,0,19,18,30,22,21,92
72,customer-18048,0,51,10,21,22,72,86
73,customer-18047,0,51,1,15,22,72,81
74,customer-469594,0,64,92,11,22,11,80
75,customer-51755,0,54,12,9,22,68,87
76,customer-158540,0,58,1,6,22,72,84
77,customer-202984,0,66,5,8,22,53,85
78,customer-387477,0,60,79,5,22,28,83
79,customer-387476,0,60,83,6,22,29,83
80,customer-387475,0,60,79,11,22,29,79
81,customer-469335,0,51,6,32,22,15,80
82,customer-469336,0,51,97,29,22,15,71
83,customer-469337,0,51,0,29,22,15,74
84,customer-82761,0,49,16,11,22,57,89
85,customer-272471,0,16,33,33,22,19,99
86,customer-202939,0,66,91,12,22,70,79
87,customer-32026,0,61,51,14,22,86,87
88,customer-18107,0,43,4,27,22,47,79
89,customer-32027,0,61,64,14,22,87,81
90,customer-126781,0,58,99,18,22,64,79
91,customer-126780,0,58,12,21,22,64,88
92,customer-183961,0,65,90,6,22,78,83
93,customer-469387,0,59,64,18,22,37,79
94,customer-469388,0,59,62,18,22,37,80
95,customer-469389,0,59,64,18,22,37,80
96,customer-469390,0,60,64,15,22,38,80
97,customer-469391,0,60,64,15,22,38,81
98,customer-469392,0,60,63,14,22,39,81
99,customer-272425,0,25,25,6,22,16,89
100,customer-469346,0,51,9,8,22,19,86
101,customer-18046,0,51,4,11,22,72,84
102,customer-126894,0,46,12,15,22,35,88
103,customer-468985,0,67,75,5,22,14,83
104,customer-158391,0,59,11,6,22,66,87
105,customer-158392,0,59,1,8,22,66,84
106,customer-184068,0,59,26,14,22,48,92
107,customer-202730,0,68,85,12,22,48,78
108,customer-18252,0,54,10,11,22,80,87
109,customer-18251,0,54,12,6,22,81,87
110,customer-18250,0,54,27,3,22,81,87
111,customer-18249,0,54,33,8,22,82,90
112,customer-127077,0,51,92,5,22,72,83
113,customer-468429,0,59,56,26,22,35,83
114,customer-317905,0,65,23,11,22,62,91
115,customer-31966,0,60,18,30,22,72,93
116,customer-31967,0,59,20,14,22,72,91
117,customer-317906,0,65,10,8,22,62,87
118,customer-272944,0,26,29,20,22,15,95
119,customer-468440,0,61,54,27,22,40,85
120,customer-468441,0,61,53,26,22,40,86
