id,label,ts_in,ts_out,attr_1,attr_2,attr_3
1,customer-89,1,14,85,164,125
2,customer-1996,2,17,157,114,17
3,customer-1811,2,35,152,142,119
4,customer-1495,3,17,16,46,233
5,customer-1978,3,42,98,127,129
6,customer-616,3,51,135,156,129
7,customer-1408,4,88,136,132,192
8,customer-723,7,33,47,105,76
9,customer-312,7,39,107,159,184
10,customer-1466,8,11,82,37,144
11,customer-1731,8,51,19,143,194
12,customer-1773,9,67,114,79,35
13,customer-1544,9,72,102,215,194
14,customer-49,10,14,106,183,142
15,customer-1483,10,21,66,190,193
16,customer-780,10,51,95,261,99
17,customer-289,10,56,169,146,228
18,customer-218,10,59,145,57,21
19,customer-753,11,33,193,171,178
20,customer-1023,11,34,89,104,97
21,customer-890,11,90,153,88,52
22,customer-1181,12,16,187,73,150
23,customer-532,12,61,97,138,202
24,customer-1319,12,78,94,103,72
25,customer-783,13,64,56,111,197
26,customer-897,13,104,156,93,134
27,customer-66,14,14,76,102,169
28,customer-384,14,41,19,9,183
29,customer-112,14,55,190,108,31
30,customer-1403,14,64,178,77,135
31,customer-1850,14,93,163,197,188
32,customer-1266,14,97,180,128,182
33,customer-501,15,16,212,198,34
34,customer-1507,15,23,179,92,137
35,customer-1530,15,34,81,64,142
36,customer-1625,15,48,153,71,156
37,customer-1743,16,47,61,104,167
38,customer-1475,16,62,25,82,120
39,customer-1201,16,63,96,10,250
40,customer-1143,16,71,209,108,194
41,customer-1909,16,95,39,64,90
42,customer-1021,16,100,203,14,38
43,customer-1818,17,52,8,51,94
44,customer-58,17,103,150,137,143
45,customer-893,17,107,193,173,81
46,customer-767,18,45,219,32,79
47,customer-99,18,72,141,57,148
48,customer-1964,18,89,174,155,254
49,customer-868,18,93,50,122,157
50,customer-1444,18,101,85,146,51
51,customer-836,18,108,113,17,135
52,customer-1320,19,38,275,37,99
53,customer-351,19,41,193,174,146
54,customer-1960,19,41,192,79,81
55,customer-1693,19,70,187,207,149
56,customer-1141,19,97,92,190,83
57,customer-325,19,101,134,29,224
58,customer-718,19,112,212,117,217
59,customer-1585,20,62,122,191,45
60,customer-1392,20,75,23,65,185
61,customer-1026,20,81,131,17,200
62,customer-1640,20,92,199,201,169
63,customer-1106,21,21,65,134,186
64,customer-1922,21,29,162,5,191
65,customer-1017,21,48,127,102,154
66,customer-67,21,72,192,44,14
67,customer-146,21,77,144,128,80
68,customer-852,21,83,134,170,87
69,customer-1138,21,84,162,103,166
70,customer-1492,21,100,150,30,87
71,customer-876,22,45,156,66,105
72,customer-478,22,60,76,195,48
73,customer-62,22,72,160,74,70
74,customer-404,22,92,90,154,58
75,customer-1784,22,95,177,118,158
76,customer-385,23,23,223,164,224
77,customer-1867,23,57,65,57,69
78,customer-1442,23,64,156,60,48
79,customer-720,23,73,167,24,226
80,customer-1157,23,73,125,117,92
81,customer-1603,23,84,95,221,58
82,customer-650,23,90,205,165,149
83,customer-545,23,91,110,166,61
84,customer-297,23,99,188,133,153
85,customer-1488,24,34,173,59,197
86,customer-175,24,38,208,104,29
87,customer-1666,24,39,187,13,210
88,customer-1426,24,51,228,90,207
89,customer-1786,24,74,100,102,17
90,customer-1082,24,85,94,217,117
91,customer-1698,24,94,159,121,115
92,customer-74,24,96,191,55,216
93,customer-471,25,74,55,26,123
94,customer-454,25,108,217,175,98
95,customer-1094,26,34,92,60,62
96,customer-689,26,50,149,154,110
97,customer-217,26,51,203,122,101
98,customer-895,26,68,45,64,165
99,customer-1939,26,83,47,99,8
