ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology
1,customer-269312,0,14,5,21,22
2,customer-269834,0,14,9,23,22
3,customer-271945,0,15,24,29,22
4,customer-269826,0,15,9,20,22
5,customer-270360,0,15,16,20,22
6,customer-270349,0,15,4,33,22
7,customer-272471,0,16,33,33,22
8,customer-274518,0,16,6,18,22
9,customer-273498,0,16,93,23,22
10,customer-269209,0,16,23,12,22
11,customer-270253,0,16,3,14,22
12,customer-272519,0,17,18,35,22
13,customer-272884,0,17,71,15,22
14,customer-271931,0,17,89,32,22
15,customer-273405,0,17,62,3,22
16,customer-273389,0,17,84,26,22
17,customer-268802,0,17,16,45,22
18,customer-268786,0,17,18,27,22
19,customer-270267,0,17,17,8,22
20,customer-272518,0,18,26,35,22
21,customer-272517,0,18,30,35,22
22,customer-273995,0,18,23,30,22
23,customer-273919,0,18,84,14,22
24,customer-273905,0,18,90,32,22
25,customer-274430,0,18,86,21,22
26,customer-274429,0,18,12,11,22
27,customer-274412,0,18,95,36,22
28,customer-274411,0,18,98,27,22
29,customer-273406,0,18,79,27,22
30,customer-269850,0,18,10,26,22
31,customer-278320,0,18,14,5,22
32,customer-272516,0,19,30,36,22
33,customer-272329,0,19,18,30,22
34,customer-273030,0,19,20,35,22
35,customer-270747,0,19,62,5,22
36,customer-270376,0,19,2,35,22
37,customer-270375,0,19,17,14,22
38,customer-278224,0,19,10,20,22
39,customer-278771,0,19,14,14,22
40,customer-277669,0,19,30,9,22
41,customer-271782,0,20,7,12,22
42,customer-273884,0,20,2,33,22
43,customer-269677,0,20,14,8,22
44,customer-269150,0,20,4,12,22
45,customer-270910,0,20,9,17,22
46,customer-270733,0,20,92,17,22
47,customer-271261,0,20,93,20,22
48,customer-270195,0,20,93,15,22
49,customer-277765,0,20,5,9,22
50,customer-272831,0,21,31,20,22
51,customer-272836,0,21,90,30,22
52,customer-271784,0,21,91,26,22
53,customer-272311,0,21,90,27,22
54,customer-272309,0,21,18,11,22
55,customer-274028,0,21,16,14,22
56,customer-273853,0,21,9,11,22
57,customer-274539,0,21,91,5,22
58,customer-273859,0,22,94,24,22
59,customer-274356,0,22,94,26,22
60,customer-274350,0,22,98,15,22
61,customer-273340,0,22,89,30,22
62,customer-273339,0,22,94,26,22
63,customer-269648,0,22,93,17,22
64,customer-269122,0,22,94,12,22
65,customer-270162,0,22,97,11,22
66,customer-277804,0,22,76,17,22
67,customer-268707,0,23,95,29,22
68,customer-268706,0,23,4,41,22
69,customer-269245,0,23,3,30,22
70,customer-270700,0,23,95,20,22
71,customer-271230,0,23,99,17,22
72,customer-270161,0,23,31,6,22
73,customer-277603,0,23,22,18,22
74,customer-269766,0,24,6,30,22
75,customer-268735,0,24,94,14,22
76,customer-269274,0,24,98,14,22
77,customer-270289,0,24,91,33,22
78,customer-270288,0,24,7,32,22
79,customer-270317,0,24,92,12,22
80,customer-278685,0,24,12,12,22
81,customer-278684,0,24,26,17,22
82,customer-272425,0,25,25,6,22
83,customer-271897,0,25,12,18,22
84,customer-271871,0,25,98,18,22
85,customer-273965,0,25,17,8,22
86,customer-317129,0,25,99,17,22
87,customer-317102,0,25,12,5,22
88,customer-317829,0,25,8,17,22
89,customer-270855,0,25,12,11,22
90,customer-270854,0,25,23,17,22
91,customer-270826,0,25,91,32,22
92,customer-270825,0,25,7,27,22
93,customer-271343,0,25,6,18,22
94,customer-278693,0,25,96,18,22
95,customer-315720,0,25,84,17,22
96,customer-277611,0,25,94,23,22
97,customer-278149,0,25,92,21,22
98,customer-278148,0,25,96,18,22
99,customer-272398,0,26,93,26,22
100,customer-272397,0,26,14,17,22
101,customer-272944,0,26,29,20,22
102,customer-272919,0,26,96,18,22
103,customer-273939,0,26,91,24,22
104,customer-273938,0,26,12,17,22
105,customer-317103,0,26,94,18,22
106,customer-317104,0,26,93,29,22
107,customer-273427,0,26,90,30,22
108,customer-273426,0,26,99,14,22
109,customer-317802,0,26,98,9,22
110,customer-317803,0,26,92,24,22
111,customer-317801,0,26,35,12,22
112,customer-317800,0,26,39,27,22
113,customer-317799,0,26,41,38,22
114,customer-319214,0,26,38,6,22
115,customer-269776,0,26,4,17,22
116,customer-319242,0,26,96,20,22
117,customer-319243,0,26,84,21,22
118,customer-268715,0,26,7,26,22
119,customer-269254,0,26,6,20,22
120,customer-318534,0,26,10,21,22
