id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5
1,product-18,0,174,69,135,130,129,134
2,product-1366,1,65,114,116,117,82,121
3,product-646,1,74,9,14,187,12,13
4,product-610,2,9,177,24,173,175,171
5,product-1042,4,32,84,114,117,114,118
6,product-1053,4,54,36,166,32,29,38
7,product-950,5,68,7,9,6,9,193
8,product-1580,5,87,68,72,73,75,128
9,product-872,6,45,179,19,177,178,184
10,product-1659,6,56,14,10,9,11,188
11,product-1061,6,64,131,125,72,129,132
12,product-695,6,86,31,29,28,35,168
13,product-1400,6,89,20,20,22,183,15
14,product-1688,7,15,7,191,6,7,8
15,product-1063,7,41,42,155,159,155,162
16,product-920,7,44,158,157,162,163,42
17,product-1485,7,54,0,0,0,0,262
18,product-763,9,80,0,0,0,0,237
19,product-1629,9,97,4,0,201,2,1
20,product-1549,9,107,93,108,96,87,89
21,product-1757,10,47,70,68,71,130,65
22,product-603,10,63,140,140,136,146,59
23,product-1848,10,70,95,102,100,101,94
24,product-164,10,98,113,83,119,113,114
25,product-722,10,98,122,82,82,83,81
26,product-1831,11,60,76,129,120,128,127
27,product-962,12,62,52,57,145,53,53
28,product-1700,12,64,116,80,85,86,86
29,product-1043,12,80,67,66,75,75,129
30,product-361,12,94,94,93,92,94,103
31,product-1669,12,96,100,101,98,101,105
32,product-1373,12,107,37,43,158,47,40
33,product-1046,13,34,57,47,51,53,148
34,product-1406,13,80,109,88,117,112,109
35,product-1570,13,100,126,74,127,122,123
36,product-757,14,90,80,76,125,79,78
37,product-567,14,95,166,166,33,165,171
38,product-489,14,100,0,216,0,0,0
39,product-824,15,17,8,10,189,6,8
40,product-1871,15,64,24,171,175,173,171
41,product-298,15,81,115,120,119,83,117
42,product-128,15,86,97,91,93,108,91
43,product-1395,15,86,76,121,80,80,78
44,product-547,16,29,97,99,99,99,106
45,product-1257,16,74,99,90,95,106,93
46,product-14,17,79,44,36,161,39,38
47,product-518,17,86,41,42,43,48,156
48,product-201,17,99,10,6,8,3,194
49,product-287,17,106,92,88,90,95,110
50,product-1906,18,22,48,47,45,39,157
51,product-893,18,33,0,0,0,0,228
52,product-806,18,34,154,48,155,154,147
53,product-511,18,41,9,13,188,12,7
54,product-500,18,47,182,16,22,18,17
55,product-1305,19,19,142,63,132,139,133
56,product-1131,19,30,137,142,137,139,62
57,product-798,19,33,109,109,111,113,88
58,product-1326,19,65,125,121,124,75,122
59,product-292,19,66,65,133,138,135,131
60,product-1749,19,68,111,94,89,94,93
61,product-1425,19,88,19,17,24,22,179
62,product-142,19,96,0,196,8,4,0
63,product-532,19,99,116,120,81,117,122
64,product-740,19,102,182,13,184,190,185
65,product-1728,20,27,59,57,51,146,55
66,product-1691,20,53,115,118,87,108,118
67,product-1592,20,58,86,92,113,91,84
68,product-1159,20,82,136,61,61,69,65
69,product-452,20,103,135,66,62,68,65
70,product-1782,21,24,45,44,48,157,47
71,product-88,21,42,38,31,165,36,37
72,product-989,21,83,0,242,0,0,0
73,product-1747,21,91,140,143,135,135,60
74,product-1151,21,97,91,91,90,88,113
75,product-559,21,99,80,123,119,125,125
76,product-481,22,47,58,58,146,57,54
77,product-881,22,53,192,191,188,11,193
78,product-935,22,62,17,16,21,21,184
79,product-517,22,63,200,5,200,192,199
80,product-1161,22,66,13,13,12,14,187
81,product-430,23,35,147,149,155,48,157
82,product-451,23,49,90,85,110,90,90
83,product-1870,23,93,0,0,234,0,0
84,product-1332,23,95,122,116,121,83,112
85,product-1960,23,116,132,64,137,133,135
86,product-758,24,28,167,163,161,165,37
87,product-1130,24,34,144,138,57,143,140
88,product-1859,24,40,43,156,158,157,152
89,product-376,24,46,80,80,79,76,124
90,product-375,24,48,42,42,43,158,47
91,product-1698,24,77,48,148,50,47,51
92,product-817,24,83,44,47,44,51,153
93,product-293,25,26,129,124,72,132,125
94,product-130,25,36,184,15,189,185,183
95,product-1105,25,36,110,103,101,94,105
96,product-526,25,42,54,56,53,147,57
97,product-1421,25,65,27,30,25,170,26
98,product-143,25,93,72,132,132,126,131
99,product-1495,25,102,106,94,91,95,97
100,product-404,25,107,62,138,141,137,136
101,product-1140,26,35,154,51,51,47,41
102,product-245,26,87,109,107,113,89,106
103,product-1297,27,30,84,84,84,87,114
104,product-416,27,31,39,37,30,40,165
105,product-863,27,51,157,42,42,45,48
106,product-842,27,58,96,95,107,89,89
107,product-1392,27,80,201,0,3,4,1
108,product-243,27,82,14,15,8,189,14
109,product-1336,27,90,46,49,156,46,42
110,product-1983,27,116,191,6,196,196,189
111,product-792,27,121,136,69,129,133,133
112,product-413,28,38,78,126,73,74,72
113,product-389,28,39,169,174,27,176,177
114,product-100,28,42,0,0,0,0,213
115,product-583,28,43,23,17,22,181,16
116,product-1640,28,99,87,117,116,118,112
117,product-1173,29,34,188,185,191,10,192
118,product-706,29,35,0,0,0,243,0
119,product-1197,29,43,135,66,64,62,68
120,product-1322,29,47,44,47,49,155,50
121,product-746,29,66,92,110,94,93,88
122,product-1377,29,68,117,118,82,115,116
123,product-1164,29,73,65,131,131,131,138
124,product-623,29,93,131,130,73,128,124
125,product-1790,29,117,28,28,167,30,29
126,product-1062,30,41,169,165,162,35,169
127,product-294,30,46,175,22,26,28,23
128,product-789,30,76,106,89,94,97,98
129,product-670,30,91,106,97,98,101,99
130,product-1077,31,58,91,84,93,90,112
131,product-1178,31,59,68,62,65,68,136
132,product-861,31,99,134,132,66,134,132
133,product-601,31,116,42,158,155,160,156
134,product-1811,31,121,35,38,40,160,36
135,product-1069,31,125,68,128,131,132,137
136,product-371,32,39,118,126,117,117,78
137,product-165,32,75,9,4,6,194,8
138,product-1587,32,89,123,130,131,129,74
139,product-887,32,97,66,66,129,74,74
140,product-1904,32,126,202,3,1,0,1
141,product-178,33,38,76,123,78,73,76
142,product-953,33,71,189,188,13,185,187
143,product-945,33,92,122,129,129,73,129
144,product-955,33,100,75,126,121,124,127
145,product-227,33,123,61,63,68,59,137
146,product-1205,34,36,56,55,59,146,52
147,product-879,34,41,52,145,144,152,147
148,product-483,34,42,155,162,160,165,40
149,product-1416,34,46,0,0,0,0,216
150,product-1733,34,69,20,25,17,22,179
151,product-1427,34,71,10,12,15,11,188
152,product-278,34,91,83,122,82,75,76
153,product-1995,34,102,202,2,0,0,0
154,product-1548,35,45,7,196,0,4,3
155,product-1855,35,53,108,90,115,107,107
156,product-540,35,54,154,155,153,46,155
157,product-692,35,73,0,0,0,207,0
158,product-890,35,89,0,0,0,203,0
159,product-1970,35,94,0,0,206,0,0
160,product-284,35,110,39,165,39,40,40
161,product-568,35,110,144,148,147,149,52
162,product-800,36,77,7,12,5,193,2
163,product-190,36,78,158,46,46,45,45
164,product-1337,36,79,13,190,6,11,15
165,product-1275,36,93,95,103,98,101,102
166,product-1296,36,123,0,0,0,0,225
167,product-1945,37,39,64,68,65,68,136
168,product-1929,37,79,31,29,29,35,170
169,product-661,37,101,8,3,3,9,192
170,product-152,37,122,58,68,137,62,60
171,product-764,38,50,131,131,72,123,128
172,product-1355,38,109,25,172,23,26,25
173,product-206,39,49,134,65,61,62,62
174,product-937,39,49,149,46,47,54,47
175,product-1994,39,74,171,174,174,27,171
176,product-767,39,78,106,98,106,101,101
177,product-724,39,79,0,0,225,0,0
178,product-1437,39,80,176,182,21,181,182
179,product-1141,39,106,0,206,0,0,0
180,product-812,39,129,146,154,49,147,148
181,product-1842,40,45,182,13,190,187,190
182,product-1185,40,79,187,184,191,13,182
183,product-98,40,83,55,49,50,53,146
184,product-477,40,88,43,45,45,46,157
185,product-982,40,90,182,183,186,17,184
186,product-280,40,107,22,16,16,15,181
187,product-882,40,128,178,24,24,25,27
188,product-884,41,41,35,36,30,167,32
189,product-1858,41,45,70,74,67,129,73
190,product-1210,41,55,136,141,64,139,137
191,product-615,41,62,0,0,0,0,229
192,product-847,41,89,75,68,74,128,76
193,product-1307,41,94,104,91,95,101,91
194,product-1843,41,99,138,57,144,145,142
195,product-1583,41,113,154,147,48,153,149
196,product-1469,41,114,0,0,0,207,0
197,product-185,41,134,82,81,81,115,85
198,product-254,42,49,103,104,100,103,97
199,product-749,42,54,146,146,54,151,144
200,product-92,42,69,21,22,180,21,16
201,product-929,42,75,36,38,40,35,162
202,product-1797,43,48,116,113,119,118,82
203,product-1812,43,51,0,201,0,0,0
204,product-1209,43,52,48,150,151,155,148
205,product-1981,43,53,124,120,128,120,76
206,product-344,43,67,86,84,83,115,90
207,product-275,43,77,110,89,93,92,89
208,product-277,43,79,38,166,163,165,158
209,product-61,43,128,156,156,155,45,159
210,product-251,43,130,17,186,12,13,13
211,product-1319,44,46,136,135,141,62,133
212,product-968,44,48,43,41,42,47,156
213,product-778,44,66,192,10,12,12,3
214,product-1997,44,68,22,183,12,15,22
215,product-348,44,76,12,12,11,188,12
216,product-23,44,84,145,141,140,148,56
217,product-1064,44,96,81,118,119,123,116
218,product-1291,44,104,137,144,145,142,58
219,product-1080,44,111,167,32,37,38,28
220,product-1710,44,111,0,210,0,0,0
221,product-932,44,126,161,157,166,166,38
222,product-1288,45,68,126,69,69,78,78
223,product-1524,45,74,161,44,38,41,43
224,product-1778,45,75,158,152,153,150,45
225,product-1652,45,81,112,111,112,107,90
226,product-1839,45,99,70,132,68,70,69
227,product-799,45,105,136,136,142,63,135
228,product-655,45,117,74,71,71,125,70
229,product-369,45,126,145,140,146,137,59
230,product-75,46,52,99,108,100,96,106
231,product-170,46,65,194,10,8,1,9
232,product-334,46,70,56,144,144,139,148
233,product-1103,46,77,0,0,0,275,0
234,product-585,46,90,25,179,20,19,26
235,product-1397,46,93,16,15,181,16,20
236,product-1460,46,95,177,168,28,168,174
237,product-1961,46,122,109,89,107,114,110
238,product-560,46,132,0,243,0,0,0
239,product-1194,46,137,133,132,132,72,127
240,product-1881,47,49,9,6,194,6,3
241,product-1564,47,50,14,191,188,191,189
242,product-1886,47,66,37,45,37,158,39
243,product-1552,47,70,97,100,106,100,106
244,product-914,47,73,132,65,66,68,67
