ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,product-104645,0,12,55,3,22,75,86
2,product-221106,0,12,61,17,25,40,86
3,product-205693,0,12,56,9,26,30,86
4,product-67270,0,12,50,28,30,38,86
5,product-128014,0,12,61,30,26,47,86
6,product-142994,0,12,71,38,45,61,86
7,product-114220,0,12,56,15,22,40,86
8,product-207481,0,12,59,21,22,47,86
9,product-123967,0,12,63,0,22,77,86
10,product-41708,0,12,54,14,25,55,86
11,product-104924,0,12,59,43,33,63,86
12,product-78654,0,12,43,22,28,15,86
13,product-42117,0,12,51,24,25,41,86
14,product-11062,0,12,38,0,22,16,86
15,product-167040,0,12,59,18,34,18,86
16,product-335185,0,12,67,4,23,20,86
17,product-311014,0,12,66,10,25,37,86
18,product-277055,0,12,61,3,22,18,86
19,product-37268,0,12,57,43,32,76,86
20,product-256793,0,12,35,30,25,16,86
21,product-299321,0,12,53,19,22,27,86
22,product-40549,0,12,54,17,27,52,86
23,product-149931,0,12,59,11,24,14,86
24,product-320407,0,12,61,54,25,4,86
25,product-320424,0,12,49,6,23,8,86
26,product-215302,0,12,61,0,22,51,86
27,product-110374,0,12,57,6,25,75,86
28,product-245256,0,12,63,4,22,26,86
29,product-134093,0,12,58,4,22,48,86
30,product-323321,0,12,62,2,22,14,86
31,product-183286,0,12,66,3,22,47,86
32,product-21145,0,12,46,20,26,38,86
33,product-113881,0,12,55,11,24,29,86
34,product-388603,0,12,31,0,22,15,86
35,product-11406,0,12,35,5,23,7,86
36,product-294778,0,12,45,0,22,12,86
37,product-82498,0,12,52,30,32,34,86
38,product-63744,0,12,43,33,22,18,86
39,product-22010,0,12,55,31,39,69,86
40,product-85817,0,12,45,0,22,27,86
41,product-218310,0,12,61,21,26,42,86
42,product-127295,0,12,68,34,27,81,86
43,product-326818,0,12,62,28,24,18,86
44,product-12989,0,12,47,23,34,42,86
45,product-162576,0,12,49,46,59,19,86
46,product-202371,0,12,31,22,28,10,86
47,product-120086,0,12,60,22,22,39,86
48,product-13665,0,12,41,24,25,22,86
49,product-98485,0,12,50,0,22,43,86
50,product-100622,0,12,58,2,22,60,86
51,product-74877,0,12,38,0,22,7,86
52,product-101111,0,12,58,6,22,62,86
53,product-145919,0,12,70,0,22,88,86
54,product-28866,0,12,42,15,22,28,86
55,product-202557,0,12,58,32,33,40,86
56,product-122406,0,12,55,0,22,34,86
57,product-120979,0,12,64,18,26,58,86
58,product-146248,0,12,68,2,22,72,86
59,product-94994,0,12,49,7,24,37,86
60,product-29379,0,12,43,13,23,33,86
61,product-331370,0,25,53,14,25,5,86
62,product-204988,0,25,31,10,24,8,86
63,product-41698,0,25,54,0,22,59,86
64,product-314676,0,25,51,12,29,12,86
65,product-10001,0,25,37,17,22,7,86
66,product-239668,0,25,63,23,24,29,86
67,product-334542,0,25,73,46,39,15,86
68,product-16180,0,25,44,2,23,38,86
69,product-332826,0,25,53,17,25,6,86
70,product-204208,0,25,58,0,22,33,86
71,product-372414,0,25,75,38,40,27,86
72,product-132460,0,25,60,0,22,53,86
73,product-138889,0,25,69,27,25,78,86
74,product-109408,0,25,65,24,24,82,86
75,product-380669,0,25,58,23,36,37,86
76,product-141288,0,25,72,6,24,66,86
77,product-141378,0,25,72,27,48,58,86
78,product-244046,0,25,67,55,25,15,86
79,product-62267,0,25,36,12,24,5,86
80,product-48998,0,25,55,24,26,60,86
81,product-32333,0,25,52,2,23,61,86
82,product-359557,0,25,63,13,22,9,86
83,product-350577,0,25,71,36,34,7,86
84,product-208090,0,25,24,2,22,5,86
85,product-33594,0,25,40,0,22,19,86
86,product-293553,0,25,53,2,22,32,86
87,product-376353,0,25,76,23,29,25,86
88,product-242682,0,25,68,59,27,17,86
89,product-242628,0,25,63,4,23,33,86
90,product-112492,0,25,58,0,22,65,86
91,product-218311,0,25,61,23,26,42,86
92,product-242235,0,25,63,5,22,33,86
93,product-144344,0,25,68,2,22,74,86
94,product-101357,0,25,58,3,22,62,86
95,product-344364,0,25,68,15,24,3,86
96,product-226817,0,25,62,26,25,38,86
97,product-99991,0,25,44,3,23,25,86
98,product-16653,0,25,45,24,26,33,86
99,product-100831,0,25,63,2,22,75,86
100,product-10895,0,25,41,13,27,23,86
101,product-344415,0,25,64,48,20,10,86
102,product-306219,0,25,48,2,23,20,86
103,product-266055,0,25,66,10,22,29,86
104,product-51296,0,25,46,6,23,37,86
105,product-363588,0,25,66,30,18,8,86
106,product-229534,0,25,63,48,31,30,86
107,product-335543,0,25,58,4,22,35,86
108,product-304459,0,25,63,0,22,8,86
109,product-366661,0,25,78,21,23,14,86
110,product-227254,0,25,62,27,24,38,86
111,product-345510,0,25,60,2,22,12,86
112,product-366979,0,25,78,20,23,14,86
113,product-335471,0,25,67,3,23,20,86
114,product-54052,0,25,52,31,25,51,86
115,product-367044,0,25,65,0,22,21,86
116,product-66566,0,38,35,2,23,5,86
117,product-236436,0,38,40,0,22,26,86
118,product-312931,0,38,67,0,22,61,86
119,product-88649,0,38,46,16,24,31,86
120,product-56993,0,38,53,11,22,57,86
121,product-65575,0,38,50,44,36,36,86
122,product-42116,0,38,51,22,25,41,86
123,product-206748,0,38,59,24,22,46,86
124,product-206164,0,38,22,0,22,14,86
125,product-122799,0,38,64,3,22,58,86
126,product-300418,0,38,58,2,22,43,86
127,product-122778,0,38,67,29,25,67,86
128,product-102172,0,38,53,14,33,40,86
129,product-117981,0,38,56,13,25,28,86
130,product-147277,0,38,72,14,28,87,86
131,product-42456,0,38,54,14,25,57,86
132,product-54495,0,38,52,34,25,52,86
133,product-39804,0,38,53,24,30,47,86
134,product-353617,0,38,67,17,27,16,86
135,product-17546,0,38,47,22,25,43,86
136,product-376805,0,38,66,9,23,62,86
137,product-357026,0,38,64,14,23,4,86
138,product-287956,0,38,72,0,22,20,86
139,product-83429,0,38,45,6,24,23,86
140,product-211858,0,38,51,29,31,16,86
141,product-214223,0,38,56,39,18,25,86
142,product-241620,0,38,50,37,33,28,86
143,product-186712,0,38,54,8,24,16,86
144,product-106020,0,38,55,2,22,74,86
145,product-296041,0,38,59,38,35,38,86
146,product-63474,0,38,53,11,22,62,86
147,product-177077,0,38,69,12,25,59,86
148,product-133694,0,38,68,29,23,82,86
149,product-142214,0,38,71,35,26,85,86
150,product-236700,0,38,62,8,24,19,86
151,product-129479,0,38,62,2,22,60,86
152,product-120629,0,38,59,17,22,36,86
153,product-15095,0,38,51,2,22,73,86
154,product-100386,0,38,58,0,22,59,86
155,product-144665,0,38,68,0,22,75,86
156,product-122348,0,38,64,4,22,57,86
157,product-397356,0,38,39,28,50,29,86
158,product-43155,0,38,55,24,25,57,86
159,product-100623,0,38,58,0,22,60,86
160,product-264963,0,38,66,4,22,30,86
161,product-44540,0,38,56,33,29,60,86
162,product-202486,0,38,55,12,23,18,86
163,product-51721,0,38,46,8,22,38,86
164,product-51218,0,38,54,2,22,64,86
165,product-121755,0,38,59,5,22,40,86
166,product-145351,0,38,68,0,22,82,86
167,product-139409,0,50,71,21,27,69,86
168,product-189164,0,50,69,6,22,48,86
169,product-390175,0,50,36,2,22,11,86
170,product-220198,0,50,58,28,27,26,86
171,product-104774,0,50,53,24,32,45,86
172,product-206224,0,50,31,35,39,12,86
173,product-258024,0,50,75,0,22,39,86
174,product-203412,0,50,55,12,22,18,86
175,product-122777,0,50,67,27,25,67,86
176,product-42649,0,50,54,21,24,56,86
177,product-36817,0,50,54,0,22,68,86
178,product-54105,0,50,43,8,23,27,86
179,product-202799,0,50,55,11,23,17,86
180,product-232869,0,50,63,38,29,28,86
181,product-1219,0,50,76,13,27,38,86
182,product-92794,0,50,55,20,29,46,86
183,product-103327,0,50,47,13,24,31,86
184,product-135807,0,50,68,0,22,83,86
185,product-257529,0,50,75,0,22,39,86
186,product-122552,0,50,67,28,25,67,86
187,product-148441,0,50,70,17,26,62,86
188,product-57303,0,50,53,20,30,56,86
189,product-134021,0,50,68,25,23,83,86
190,product-62825,0,50,46,0,22,50,86
191,product-111483,0,50,51,0,22,27,86
192,product-141495,0,50,67,2,22,78,86
193,product-84271,0,50,42,0,22,13,86
194,product-133858,0,50,68,27,23,82,86
195,product-86645,0,50,42,13,23,12,86
196,product-38808,0,50,54,14,26,50,86
197,product-282344,0,50,47,0,22,27,86
198,product-127680,0,50,69,38,30,64,86
199,product-187101,0,50,54,19,24,16,86
200,product-88080,0,50,54,34,29,46,86
201,product-88403,0,50,47,19,28,31,86
202,product-176863,0,50,57,28,26,19,86
203,product-81978,0,50,36,13,22,4,86
204,product-133693,0,50,68,29,26,83,86
205,product-160032,0,50,56,23,30,24,86
206,product-138004,0,50,71,33,28,71,86
207,product-138232,0,50,71,33,28,71,86
208,product-34963,0,50,48,9,24,39,86
209,product-73991,0,50,46,6,24,25,86
210,product-129908,0,50,68,31,26,83,86
211,product-130697,0,50,51,0,22,9,86
212,product-10803,0,50,32,0,22,12,86
213,product-44971,0,50,55,31,28,55,86
214,product-198821,0,50,54,4,22,21,86
