ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology
1,customer-129138,0,39,15,3,22
2,customer-387497,0,63,78,15,22
3,customer-126864,0,50,34,5,22
4,customer-387496,0,62,81,18,22
5,customer-317944,0,72,87,27,22
6,customer-317945,0,73,85,26,22
7,customer-469249,0,64,91,11,22
8,customer-272528,0,70,25,12,22
9,customer-126847,0,51,5,18,22
10,customer-126846,0,51,9,11,22
11,customer-126845,0,52,26,14,22
12,customer-317946,0,73,82,32,22
13,customer-158501,0,50,2,15,22
14,customer-469289,0,66,18,12,22
15,customer-469290,0,66,96,8,22
16,customer-202918,0,67,13,12,22
17,customer-202919,0,67,11,12,22
18,customer-126799,0,55,11,20,22
19,customer-272519,0,17,18,35,22
20,customer-469308,0,67,89,5,22
21,customer-272518,0,18,26,35,22
22,customer-272517,0,18,30,35,22
23,customer-469070,0,60,59,15,22
24,customer-469069,0,60,59,17,22
25,customer-469068,0,60,59,18,22
26,customer-202914,0,67,9,5,22
27,customer-158477,0,54,99,14,22
28,customer-202855,0,70,84,6,22
29,customer-18159,0,40,94,18,22
30,customer-18158,0,40,13,11,22
31,customer-272577,0,54,16,5,22
32,customer-42453,0,34,6,17,22
33,customer-469016,0,51,98,23,22
34,customer-469017,0,51,99,21,22
35,customer-42452,0,34,24,12,22
36,customer-272554,0,67,1,21,22
37,customer-272516,0,19,30,36,22
38,customer-317943,0,72,88,30,22
39,customer-272551,0,67,6,14,22
40,customer-126865,0,50,90,3,22
41,customer-272550,0,67,3,8,22
42,customer-469060,0,59,54,21,22
43,customer-469061,0,59,57,24,22
44,customer-469062,0,59,59,24,22
45,customer-469063,0,59,61,23,22
46,customer-272549,0,68,9,5,22
47,customer-387498,0,63,75,11,22
48,customer-202913,0,67,16,6,22
49,customer-387499,0,63,69,8,22
50,customer-158476,0,54,0,9,22
51,customer-18108,0,43,95,38,22
52,customer-387478,0,61,67,8,22
53,customer-51756,0,54,76,12,22
54,customer-158541,0,58,0,5,22
55,customer-126739,0,50,21,14,22
56,customer-202985,0,66,0,6,22
57,customer-272409,0,27,15,6,22
58,customer-126716,0,51,0,8,22
59,customer-76696,0,44,62,11,22
60,customer-18063,0,49,0,18,22
61,customer-18062,0,49,97,12,22
62,customer-272398,0,26,93,26,22
63,customer-272397,0,26,14,17,22
64,customer-76695,0,45,31,15,22
65,customer-469649,0,67,99,5,22
66,customer-469650,0,67,83,8,22
67,customer-202996,0,68,92,12,22
68,customer-469676,0,52,13,27,22
