ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
1,customer-262166,0,9,8,17,22,5,85,85,54
2,customer-260761,0,9,28,39,22,4,99,76,21
3,customer-261691,0,9,4,18,22,5,82,85,56
4,customer-261690,0,9,28,33,22,5,99,80,28
5,customer-262636,0,10,28,33,22,5,98,81,28
6,customer-263585,0,10,0,23,22,6,77,83,59
7,customer-260747,0,10,92,27,22,9,69,84,70
8,customer-262148,0,11,89,33,22,11,62,84,75
9,customer-262147,0,11,98,15,22,11,80,88,62
10,customer-263571,0,11,92,30,22,12,67,83,70
11,customer-263093,0,12,86,32,22,11,62,87,80
12,customer-260670,0,13,6,29,22,15,81,77,48
13,customer-260240,0,13,96,14,22,17,80,89,64
14,customer-260239,0,13,28,18,22,17,94,88,44
15,customer-267165,0,13,95,17,22,16,78,88,65
16,customer-269312,0,14,5,21,22,17,82,82,53
17,customer-269834,0,14,9,23,22,17,85,81,48
18,customer-262564,0,14,15,23,22,13,89,81,43
19,customer-262080,0,14,9,11,22,13,86,89,56
20,customer-262085,0,14,5,9,22,19,85,89,59
21,customer-260660,0,14,2,30,22,19,75,77,54
22,customer-260689,0,14,3,8,22,18,85,91,60
23,customer-260690,0,14,90,23,22,18,71,88,72
24,customer-260691,0,14,90,29,22,17,67,85,73
25,customer-260692,0,14,92,23,22,17,72,86,69
26,customer-260220,0,14,9,23,22,16,85,81,49
27,customer-260212,0,14,92,39,22,18,59,78,72
28,customer-260211,0,14,95,17,22,19,78,88,65
29,customer-261616,0,14,28,18,22,19,94,88,44
30,customer-261138,0,14,18,12,22,14,90,88,51
31,customer-267207,0,14,10,38,22,5,82,69,35
32,customer-267206,0,14,13,38,22,5,86,69,31
33,customer-267187,0,14,16,30,22,9,90,76,35
34,customer-271945,0,15,24,29,22,19,96,80,32
35,customer-269826,0,15,9,20,22,21,86,83,50
36,customer-270360,0,15,16,20,22,18,90,83,45
37,customer-270349,0,15,4,33,22,22,76,74,49
38,customer-262092,0,15,98,23,22,18,76,84,62
39,customer-263033,0,15,3,20,22,20,81,84,56
40,customer-260661,0,15,92,38,22,18,59,79,72
41,customer-260653,0,15,91,33,22,16,63,82,72
42,customer-260207,0,15,44,12,22,16,90,95,57
43,customer-260206,0,15,96,18,22,15,78,87,63
44,customer-260205,0,15,99,8,22,15,83,91,61
45,customer-261621,0,15,1,18,22,18,80,86,59
46,customer-261622,0,15,97,17,22,18,78,87,63
47,customer-261114,0,15,14,5,22,18,87,91,58
48,customer-261113,0,15,51,27,22,18,87,98,61
49,customer-261153,0,15,95,24,22,18,73,84,65
50,customer-261154,0,15,97,18,22,17,78,87,63
51,customer-261112,0,15,51,20,22,18,88,98,61
52,customer-261111,0,15,1,23,22,17,79,83,57
53,customer-272471,0,16,33,33,22,19,99,85,32
54,customer-274518,0,16,6,18,22,21,83,85,54
55,customer-273498,0,16,93,23,22,20,73,86,68
56,customer-269209,0,16,23,12,22,9,91,89,50
57,customer-270253,0,16,3,14,22,9,83,87,58
58,customer-262576,0,16,99,23,22,19,76,83,61
59,customer-262532,0,16,57,35,22,18,79,100,70
60,customer-260701,0,16,98,24,22,16,75,83,62
61,customer-260640,0,16,92,26,22,15,70,85,69
62,customer-260639,0,16,19,5,22,14,88,92,57
63,customer-260250,0,16,90,24,22,16,70,87,71
64,customer-272519,0,17,18,35,22,7,92,73,28
65,customer-272884,0,17,71,15,22,7,78,97,74
66,customer-271931,0,17,89,32,22,24,63,84,76
67,customer-273405,0,17,62,3,22,10,85,95,64
