ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology
1,customer-269312,0,14,5,21,22
2,customer-269834,0,14,9,23,22
3,customer-271945,0,15,24,29,22
4,customer-269826,0,15,9,20,22
5,customer-272471,0,16,33,33,22
6,customer-274518,0,16,6,18,22
7,customer-273498,0,16,93,23,22
8,customer-272519,0,17,18,35,22
9,customer-272884,0,17,71,15,22
10,customer-271931,0,17,89,32,22
11,customer-273405,0,17,62,3,22
12,customer-273389,0,17,84,26,22
13,customer-272518,0,18,26,35,22
14,customer-272517,0,18,30,35,22
15,customer-273995,0,18,23,30,22
16,customer-273919,0,18,84,14,22
17,customer-273905,0,18,90,32,22
18,customer-274430,0,18,86,21,22
19,customer-274429,0,18,12,11,22
20,customer-274412,0,18,95,36,22
21,customer-274411,0,18,98,27,22
22,customer-273406,0,18,79,27,22
23,customer-269850,0,18,10,26,22
24,customer-272516,0,19,30,36,22
25,customer-272329,0,19,18,30,22
26,customer-273030,0,19,20,35,22
27,customer-271782,0,20,7,12,22
28,customer-273884,0,20,2,33,22
29,customer-272831,0,21,31,20,22
30,customer-272836,0,21,90,30,22
31,customer-271784,0,21,91,26,22
32,customer-272311,0,21,90,27,22
33,customer-272309,0,21,18,11,22
34,customer-274028,0,21,16,14,22
35,customer-273853,0,21,9,11,22
36,customer-274539,0,21,91,5,22
37,customer-273859,0,22,94,24,22
38,customer-274356,0,22,94,26,22
39,customer-274350,0,22,98,15,22
40,customer-273340,0,22,89,30,22
41,customer-273339,0,22,94,26,22
42,customer-269648,0,22,93,17,22
43,customer-272425,0,25,25,6,22
44,customer-271897,0,25,12,18,22
45,customer-271871,0,25,98,18,22
46,customer-273965,0,25,17,8,22
47,customer-317129,0,25,99,17,22
48,customer-317102,0,25,12,5,22
49,customer-317829,0,25,8,17,22
50,customer-272398,0,26,93,26,22
51,customer-272397,0,26,14,17,22
52,customer-272944,0,26,29,20,22
53,customer-272919,0,26,96,18,22
54,customer-273939,0,26,91,24,22
55,customer-273938,0,26,12,17,22
56,customer-317103,0,26,94,18,22
57,customer-317104,0,26,93,29,22
58,customer-273427,0,26,90,30,22
59,customer-273426,0,26,99,14,22
60,customer-317802,0,26,98,9,22
61,customer-317803,0,26,92,24,22
62,customer-317801,0,26,35,12,22
63,customer-317800,0,26,39,27,22
64,customer-317799,0,26,41,38,22
65,customer-319214,0,26,38,6,22
66,customer-269776,0,26,4,17,22
67,customer-272409,0,27,15,6,22
68,customer-272929,0,27,97,6,22
69,customer-272928,0,27,25,15,22
70,customer-274453,0,27,12,14,22
71,customer-273949,0,28,3,12,22
72,customer-273948,0,28,20,17,22
73,customer-274463,0,28,9,12,22
74,customer-273437,0,28,16,12,22
75,customer-317869,0,32,18,12,22
76,customer-317167,0,32,22,5,22
77,customer-385404,0,32,21,14,22
78,customer-319281,0,32,13,15,22
79,customer-76776,0,33,2,23,22
80,customer-385403,0,33,22,15,22
81,customer-42453,0,34,6,17,22
82,customer-42452,0,34,24,12,22
83,customer-387327,0,34,28,5,22
84,customer-387328,0,34,83,3,22
85,customer-387329,0,34,81,8,22
86,customer-388618,0,34,16,14,22
87,customer-76772,0,34,5,17,22
88,customer-76773,0,34,2,21,22
89,customer-387974,0,34,2,12,22
90,customer-387973,0,34,6,11,22
91,customer-387972,0,34,12,12,22
92,customer-76774,0,34,0,23,22
93,customer-76775,0,34,2,21,22
94,customer-388617,0,35,16,14,22
95,customer-388616,0,35,6,9,22
96,customer-388615,0,35,8,8,22
97,customer-388614,0,35,14,6,22
98,customer-388613,0,35,21,6,22
99,customer-17972,0,37,2,12,22
100,customer-17971,0,37,14,14,22
101,customer-17970,0,37,16,11,22
102,customer-126976,0,38,96,8,22
103,customer-82843,0,38,10,21,22
104,customer-82844,0,38,9,23,22
105,customer-126610,0,38,6,9,22
106,customer-17969,0,38,12,8,22
107,customer-82548,0,38,24,12,22
108,customer-82549,0,38,21,8,22
109,customer-127701,0,38,53,8,22
110,customer-127700,0,38,36,6,22
111,customer-128064,0,38,2,5,22
112,customer-127339,0,38,56,5,22
113,customer-31891,0,38,99,26,22
114,customer-31890,0,38,7,15,22
115,customer-17309,0,38,41,14,22
116,customer-17308,0,38,39,6,22
117,customer-17307,0,38,27,5,22
118,customer-129138,0,39,15,3,22
119,customer-82842,0,39,11,20,22
120,customer-82835,0,39,24,12,22
