id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5
1,customer-3732,0,162,163,9,24,253,201
2,customer-467,1,33,65,218,59,91,56
3,customer-305,1,63,37,94,112,180,133
4,customer-4240,1,77,221,146,152,190,197
5,customer-1022,1,89,65,76,170,156,30
6,customer-2935,2,9,208,138,194,38,74
7,customer-52,3,6,254,61,224,10,61
8,customer-4382,3,40,52,209,181,69,156
9,customer-4865,3,53,177,173,106,94,201
10,customer-2423,3,69,213,37,37,185,206
11,customer-3346,3,69,168,100,193,40,42
12,customer-4724,4,23,159,57,88,63,37
13,customer-4041,4,51,139,46,230,188,136
14,customer-2284,4,84,52,192,65,65,55
15,customer-4066,5,56,142,57,91,35,73
16,customer-2467,5,72,63,127,138,161,211
17,customer-3995,6,56,181,133,137,169,196
18,customer-3631,6,63,131,124,53,143,38
19,customer-3617,6,65,127,146,110,132,133
20,customer-1895,6,73,201,92,222,19,17
21,customer-2609,6,86,246,29,84,137,46
22,customer-2100,6,87,167,212,120,198,213
23,customer-2114,7,19,175,80,150,156,105
24,customer-2853,7,21,169,47,165,207,104
25,customer-3904,7,26,22,64,116,13,27
26,customer-2832,7,52,88,33,46,120,140
27,customer-4550,7,56,110,166,142,28,43
28,customer-1437,7,68,127,162,282,63,63
29,customer-233,8,39,155,15,67,237,39
30,customer-947,8,40,98,191,133,223,57
31,customer-4437,8,48,72,84,148,200,169
32,customer-3258,8,79,28,38,195,135,192
33,customer-3610,8,81,121,17,219,203,25
34,customer-2324,8,87,39,113,132,162,90
35,customer-824,9,18,185,158,123,152,187
36,customer-4058,9,19,254,174,177,79,177
37,customer-3472,9,30,94,67,63,81,161
38,customer-2037,9,77,96,98,83,101,86
39,customer-2673,9,92,172,202,133,168,242
40,customer-3494,9,100,182,132,202,150,181
41,customer-475,10,13,22,219,201,123,46
42,customer-2495,10,15,33,67,190,74,232
43,customer-4392,10,61,207,177,130,67,229
44,customer-2614,10,62,273,103,123,199,92
45,customer-363,10,77,146,103,65,9,37
46,customer-732,10,81,81,63,148,52,97
47,customer-4077,10,93,245,241,186,229,224
48,customer-4767,10,99,5,133,140,139,183
49,customer-4194,10,108,151,235,98,87,174
50,customer-1351,11,30,205,171,252,29,87
51,customer-2457,11,47,131,26,202,61,164
