ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope
1,customer-129138,0,39,15,3
2,customer-387497,0,63,78,15
3,customer-126864,0,50,34,5
4,customer-387496,0,62,81,18
5,customer-317944,0,72,87,27
6,customer-317945,0,73,85,26
7,customer-469249,0,64,91,11
8,customer-272528,0,70,25,12
9,customer-126847,0,51,5,18
10,customer-126846,0,51,9,11
11,customer-126845,0,52,26,14
12,customer-317946,0,73,82,32
13,customer-158501,0,50,2,15
14,customer-469289,0,66,18,12
15,customer-469290,0,66,96,8
16,customer-202918,0,67,13,12
17,customer-202919,0,67,11,12
18,customer-126799,0,55,11,20
19,customer-272519,0,17,18,35
20,customer-469308,0,67,89,5
21,customer-272518,0,18,26,35
22,customer-272517,0,18,30,35
23,customer-469070,0,60,59,15
24,customer-469069,0,60,59,17
25,customer-469068,0,60,59,18
26,customer-202914,0,67,9,5
27,customer-158477,0,54,99,14
28,customer-202855,0,70,84,6
29,customer-18159,0,40,94,18
30,customer-18158,0,40,13,11
31,customer-272577,0,54,16,5
32,customer-42453,0,34,6,17
33,customer-469016,0,51,98,23
34,customer-469017,0,51,99,21
35,customer-42452,0,34,24,12
36,customer-272554,0,67,1,21
37,customer-272516,0,19,30,36
38,customer-317943,0,72,88,30
39,customer-272551,0,67,6,14
40,customer-126865,0,50,90,3
41,customer-272550,0,67,3,8
42,customer-469060,0,59,54,21
43,customer-469061,0,59,57,24
44,customer-469062,0,59,59,24
45,customer-469063,0,59,61,23
46,customer-272549,0,68,9,5
47,customer-387498,0,63,75,11
48,customer-202913,0,67,16,6
49,customer-387499,0,63,69,8
50,customer-158476,0,54,0,9
51,customer-18108,0,43,95,38
52,customer-387478,0,61,67,8
53,customer-51756,0,54,76,12
54,customer-158541,0,58,0,5
55,customer-126739,0,50,21,14
56,customer-202985,0,66,0,6
57,customer-272409,0,27,15,6
58,customer-126716,0,51,0,8
59,customer-76696,0,44,62,11
60,customer-18063,0,49,0,18
61,customer-18062,0,49,97,12
62,customer-272398,0,26,93,26
63,customer-272397,0,26,14,17
64,customer-76695,0,45,31,15
65,customer-469649,0,67,99,5
66,customer-469650,0,67,83,8
67,customer-202996,0,68,92,12
68,customer-469676,0,52,13,27
69,customer-202997,0,68,89,14
70,customer-183911,0,50,14,24
71,customer-272329,0,19,18,30
72,customer-18048,0,51,10,21
73,customer-18047,0,51,1,15
74,customer-469594,0,64,92,11
75,customer-51755,0,54,12,9
76,customer-158540,0,58,1,6
77,customer-202984,0,66,5,8
78,customer-387477,0,60,79,5
79,customer-387476,0,60,83,6
80,customer-387475,0,60,79,11
81,customer-469335,0,51,6,32
82,customer-469336,0,51,97,29
83,customer-469337,0,51,0,29
84,customer-82761,0,49,16,11
85,customer-272471,0,16,33,33
86,customer-202939,0,66,91,12
87,customer-32026,0,61,51,14
88,customer-18107,0,43,4,27
89,customer-32027,0,61,64,14
90,customer-126781,0,58,99,18
91,customer-126780,0,58,12,21
92,customer-183961,0,65,90,6
93,customer-469387,0,59,64,18
94,customer-469388,0,59,62,18
95,customer-469389,0,59,64,18
96,customer-469390,0,60,64,15
97,customer-469391,0,60,64,15
98,customer-469392,0,60,63,14
99,customer-272425,0,25,25,6
100,customer-469346,0,51,9,8
101,customer-18046,0,51,4,11
102,customer-126894,0,46,12,15
103,customer-468985,0,67,75,5
104,customer-158391,0,59,11,6
105,customer-158392,0,59,1,8
106,customer-184068,0,59,26,14
107,customer-202730,0,68,85,12
108,customer-18252,0,54,10,11
109,customer-18251,0,54,12,6
110,customer-18250,0,54,27,3
111,customer-18249,0,54,33,8
112,customer-127077,0,51,92,5
113,customer-468429,0,59,56,26
114,customer-317905,0,65,23,11
115,customer-31966,0,60,18,30
116,customer-31967,0,59,20,14
117,customer-317906,0,65,10,8
118,customer-272944,0,26,29,20
119,customer-468440,0,61,54,27
120,customer-468441,0,61,53,26
121,customer-468442,0,61,51,26
122,customer-202743,0,68,9,15
123,customer-387823,0,55,29,17
124,customer-272929,0,27,97,6
125,customer-273030,0,19,20,35
126,customer-158295,0,58,97,8
127,customer-158294,0,58,6,9
128,customer-317869,0,32,18,12
129,customer-202717,0,66,4,8
130,customer-158253,0,50,3,15
131,customer-468360,0,68,62,14
132,customer-273045,0,71,21,14
133,customer-273044,0,71,19,11
134,customer-468388,0,50,45,5
135,customer-127100,0,50,14,14
136,customer-273043,0,71,18,6
137,customer-158254,0,50,2,15
138,customer-468428,0,59,55,24
139,customer-468606,0,64,85,8
140,customer-184070,0,58,23,18
141,customer-51628,0,66,16,8
142,customer-18270,0,52,8,8
143,customer-18269,0,52,23,17
144,customer-18268,0,52,22,15
145,customer-18267,0,52,16,6
146,customer-18266,0,52,12,3
147,customer-18265,0,52,18,9
148,customer-18264,0,53,17,15
149,customer-18263,0,53,12,17
150,customer-18262,0,53,5,14
151,customer-184069,0,59,24,21
152,customer-468986,0,67,61,9
153,customer-272928,0,27,25,15
154,customer-127050,0,54,34,20
155,customer-202782,0,62,20,20
156,customer-272831,0,21,31,20
157,customer-126934,0,46,19,20
158,customer-387676,0,67,32,29
159,customer-272757,0,47,88,26
160,customer-468749,0,61,56,21
161,customer-468750,0,61,56,20
162,customer-387675,0,68,31,14
163,customer-387674,0,68,4,9
164,customer-272754,0,46,6,8
165,customer-202818,0,55,24,11
166,customer-468925,0,64,89,9
167,customer-272722,0,52,9,5
168,customer-126914,0,46,21,6
169,customer-468966,0,66,37,9
170,customer-468967,0,66,47,9
171,customer-468968,0,66,75,14
172,customer-202819,0,55,15,8
173,customer-158439,0,54,6,15
174,customer-272606,0,62,2,18
175,customer-468984,0,67,2,9
176,customer-202781,0,63,22,20
177,customer-202780,0,63,23,14
178,customer-126976,0,38,96,8
179,customer-387704,0,64,49,17
180,customer-387822,0,56,22,11
181,customer-468647,0,66,79,3
182,customer-387821,0,56,23,20
183,customer-127049,0,54,32,23
184,customer-127048,0,55,35,24
185,customer-387820,0,56,23,21
186,customer-272919,0,26,96,18
187,customer-468664,0,67,3,15
188,customer-468665,0,67,98,5
189,customer-468666,0,67,66,11
190,customer-127051,0,54,35,11
191,customer-317925,0,64,89,24
192,customer-184030,0,62,39,20
193,customer-468671,0,68,79,8
194,customer-468672,0,68,78,6
195,customer-468673,0,68,64,11
196,customer-272884,0,17,71,15
197,customer-158421,0,55,93,8
198,customer-158422,0,55,90,12
199,customer-202779,0,63,26,11
200,customer-468739,0,59,55,23
201,customer-272836,0,21,90,30
202,customer-317926,0,64,86,21
203,customer-18045,0,51,24,12
204,customer-387421,0,44,68,17
205,customer-203011,0,68,8,15
206,customer-271897,0,25,12,18
207,customer-387176,0,56,24,20
208,customer-471110,0,66,91,15
209,customer-387175,0,57,23,18
210,customer-387174,0,57,22,17
211,customer-318346,0,47,4,6
212,customer-68017,0,66,25,21
213,customer-471140,0,68,81,12
214,customer-318347,0,47,1,9
215,customer-82842,0,39,11,20
216,customer-271871,0,25,98,18
217,customer-17882,0,43,87,42
218,customer-17881,0,42,98,18
219,customer-82843,0,38,10,21
220,customer-82844,0,38,9,23
221,customer-471163,0,53,89,23
222,customer-72198,0,56,40,20
223,customer-158746,0,50,3,11
224,customer-203208,0,66,89,12
225,customer-471182,0,51,5,21
226,customer-271784,0,21,91,26
227,customer-318345,0,47,16,5
228,customer-72197,0,56,30,20
229,customer-471096,0,65,90,11
230,customer-203187,0,67,10,11
231,customer-470705,0,65,92,15
232,customer-470706,0,65,92,15
233,customer-51857,0,44,50,8
234,customer-387327,0,34,28,5
235,customer-318344,0,47,33,6
236,customer-470721,0,66,92,17
237,customer-82831,0,40,41,24
238,customer-82832,0,40,43,15
239,customer-271945,0,15,24,29
240,customer-470752,0,68,84,18
241,customer-387062,0,64,49,15
242,customer-42392,0,43,58,3
243,customer-470775,0,53,93,14
244,customer-203186,0,67,11,9
245,customer-82833,0,40,40,12
246,customer-82834,0,40,32,15
247,customer-158745,0,50,8,11
248,customer-470791,0,51,6,29
249,customer-271931,0,17,89,32
250,customer-82835,0,39,24,12
251,customer-82836,0,39,11,11
252,customer-82837,0,39,4,15
253,customer-203185,0,67,8,6
254,customer-387328,0,34,83,3
255,customer-271782,0,20,7,12
256,customer-471475,0,65,91,8
257,customer-386864,0,62,71,20
258,customer-271533,0,53,5,5
259,customer-471859,0,65,94,5
260,customer-271532,0,53,18,6
261,customer-386863,0,62,72,14
262,customer-126371,0,50,92,5
263,customer-386862,0,62,83,12
264,customer-386861,0,62,91,18
265,customer-17824,0,50,9,17
266,customer-17823,0,50,11,17
267,customer-17822,0,51,16,21
268,customer-17821,0,51,16,17
269,customer-271493,0,66,0,14
270,customer-183905,0,51,50,0
271,customer-271491,0,67,1,11
272,customer-126370,0,50,25,15
273,customer-183904,0,51,44,8
274,customer-158879,0,59,3,17
275,customer-158880,0,59,98,21
276,customer-203280,0,68,3,17
277,customer-203281,0,68,2,17
278,customer-183906,0,51,92,6
279,customer-126412,0,58,11,11
280,customer-203263,0,68,94,15
281,customer-17836,0,49,6,18
282,customer-471476,0,65,94,6
283,customer-318364,0,45,17,12
284,customer-126479,0,51,14,9
285,customer-318365,0,45,12,14
286,customer-203252,0,66,2,8
287,customer-471489,0,66,88,15
288,customer-271710,0,46,80,18
289,customer-387031,0,67,89,17
290,customer-42376,0,45,89,6
291,customer-471518,0,68,77,12
292,customer-158786,0,58,2,3
293,customer-271679,0,51,10,8
294,customer-42375,0,45,32,15
295,customer-126432,0,55,3,15
296,customer-126431,0,55,11,18
297,customer-183909,0,51,10,23
298,customer-471558,0,52,4,21
299,customer-318366,0,44,8,14
300,customer-203262,0,68,93,15
301,customer-32119,0,49,78,26
302,customer-271560,0,61,5,21
303,customer-17837,0,49,99,20
304,customer-271678,0,51,15,6
305,customer-203182,0,67,14,6
306,customer-126498,0,50,24,8
307,customer-387329,0,34,81,8
308,customer-318209,0,69,14,29
309,customer-51794,0,52,19,8
310,customer-158635,0,59,2,14
311,customer-318210,0,68,10,26
312,customer-272201,0,52,7,6
313,customer-272200,0,52,18,6
314,customer-469942,0,64,91,12
315,customer-469943,0,65,92,12
316,customer-203046,0,64,22,6
317,customer-203047,0,63,22,8
318,customer-203048,0,63,22,9
319,customer-126610,0,38,6,9
320,customer-203049,0,63,19,9
321,customer-469994,0,67,73,9
322,customer-158664,0,55,8,12
323,customer-158665,0,55,92,12
324,customer-470020,0,52,16,23
325,customer-470021,0,52,3,26
326,customer-272082,0,61,4,20
327,customer-318239,0,64,9,11
328,customer-51811,0,51,10,20
329,customer-126690,0,54,36,23
330,customer-126691,0,54,34,18
331,customer-126692,0,53,31,23
332,customer-126693,0,53,29,17
333,customer-203012,0,68,7,17
334,customer-387420,0,44,44,12
335,customer-272311,0,21,90,27
336,customer-387419,0,44,34,27
337,customer-272309,0,21,18,11
338,customer-18037,0,53,21,5
339,customer-18036,0,53,16,6
340,customer-18035,0,53,18,15
