id,label,ts_in,ts_out,attr_1,attr_2,attr_3
1,product-4248,0,2,224,29,126
2,product-1882,0,156,211,33,44
3,product-8488,0,179,53,159,212
4,product-4491,1,7,237,244,161
5,product-5657,1,69,120,100,142
6,product-2891,2,4,56,46,81
7,product-2970,2,21,143,35,126
8,product-6653,2,28,62,237,123
9,product-1568,2,30,217,235,107
10,product-2381,2,32,75,45,196
11,product-3493,2,80,187,88,168
12,product-7584,3,53,157,72,21
13,product-6384,3,67,152,71,205
14,product-7662,3,71,96,131,11
15,product-8866,3,86,37,24,82
16,product-8947,3,90,60,165,66
17,product-8739,3,99,14,104,115
18,product-9289,4,20,43,58,101
19,product-1287,4,24,94,199,96
20,product-2663,4,27,236,82,138
21,product-3275,4,29,52,219,232
22,product-9701,4,34,47,47,69
23,product-3887,4,37,32,8,127
24,product-9927,4,46,104,138,20
25,product-3131,4,47,192,144,149
26,product-4079,4,58,7,171,41
27,product-630,4,64,225,240,204
28,product-498,4,80,146,204,127
29,product-5345,5,6,118,43,89
30,product-1198,5,13,84,36,181
31,product-4447,5,23,241,149,108
32,product-427,5,41,161,14,3
33,product-5668,5,41,159,145,237
34,product-9334,5,51,76,207,148
35,product-5414,5,64,101,190,11
36,product-6906,5,70,110,112,94
37,product-4624,5,83,141,62,37
38,product-4678,5,90,73,80,144
39,product-5957,6,10,66,165,130
40,product-9386,6,12,183,92,135
41,product-9978,6,15,207,151,122
42,product-3863,6,16,98,144,140
43,product-7514,6,19,120,172,219
44,product-2709,6,23,85,156,187
45,product-353,6,25,172,145,155
46,product-3043,6,37,232,117,154
47,product-3998,6,38,88,140,36
48,product-8029,6,47,110,74,247
49,product-1773,6,53,239,55,163
50,product-3343,6,53,173,52,177
51,product-5555,6,55,66,106,88
52,product-2559,6,60,151,150,162
53,product-3626,6,63,62,141,39
54,product-2379,6,68,181,61,95
55,product-7366,6,68,193,122,56
56,product-8127,7,9,46,81,250
57,product-3487,7,13,51,203,220
58,product-1946,7,17,141,197,246
59,product-4838,7,28,166,186,64
60,product-6237,7,30,202,166,10
61,product-6236,7,42,154,196,62
62,product-4158,7,46,114,185,63
63,product-4586,7,47,69,239,57
64,product-8136,7,48,17,77,40
65,product-2597,7,52,84,197,48
66,product-5389,7,55,182,143,82
67,product-6704,7,81,23,194,103
68,product-2107,7,91,116,122,1
69,product-657,7,92,95,145,198
70,product-7401,8,12,168,69,91
71,product-9507,8,17,156,169,112
72,product-6816,8,20,154,181,59
73,product-2004,8,27,86,197,190
74,product-8759,8,29,72,124,132
75,product-7472,8,32,76,30,62
76,product-8451,8,32,85,73,110
77,product-3669,8,38,43,92,89
78,product-4559,8,39,254,175,133
79,product-350,8,44,196,199,149
80,product-1732,8,59,74,113,70
81,product-4008,8,60,142,152,64
82,product-589,8,61,62,105,117
83,product-6415,8,62,192,86,227
84,product-3852,8,71,86,103,216
85,product-8292,8,80,178,199,121
86,product-8317,8,83,108,86,185
87,product-2851,8,84,207,232,180
88,product-4730,8,84,36,159,56
89,product-401,8,91,66,174,164
90,product-3545,8,99,89,221,50
91,product-122,8,100,79,180,191
92,product-1286,8,103,41,26,28
93,product-8171,9,10,73,13,199
94,product-2911,9,19,42,157,156
95,product-5638,9,21,184,156,175
96,product-6207,9,22,98,165,126
97,product-5971,9,23,133,96,81
98,product-6905,9,23,211,87,154
99,product-5088,9,38,120,164,116
100,product-9131,9,47,197,32,176
101,product-121,9,60,135,159,184
102,product-4725,9,63,187,166,168
103,product-80,9,69,76,43,198
104,product-2708,9,74,41,74,59
105,product-4333,9,79,162,61,120
106,product-4307,9,80,28,204,178
107,product-6282,9,87,66,71,17
108,product-7797,9,87,47,123,110
109,product-6808,9,94,52,41,64
110,product-4213,10,12,186,91,114
111,product-8027,10,13,191,167,172
