id,label,ts_in,ts_out,attr_1,attr_2,attr_3
1,product-321,5,10,113,196,110
2,product-394,9,46,144,25,43
3,product-26,9,81,76,104,43
4,product-270,10,53,16,220,112
5,product-141,12,73,71,193,228
6,product-274,14,95,28,35,104
7,product-451,15,47,143,72,76
8,product-48,17,103,118,120,36
9,product-16,18,39,89,205,199
10,product-339,18,74,34,191,160
11,product-444,20,30,193,108,107
12,product-58,20,83,176,175,58
13,product-354,20,96,168,170,163
14,product-261,21,96,134,94,200
15,product-468,22,50,72,89,118
16,product-245,22,87,36,130,105
17,product-497,23,68,11,169,63
18,product-131,23,83,167,75,213
19,product-186,23,116,29,108,268
20,product-219,24,66,49,178,72
21,product-264,24,84,257,57,160
22,product-175,24,93,17,190,72
23,product-466,25,29,184,85,200
24,product-434,25,62,83,32,192
25,product-488,26,72,122,43,165
26,product-88,26,110,168,204,144
27,product-349,27,75,88,68,37
28,product-383,28,50,171,125,67
29,product-259,28,79,115,256,145
30,product-93,28,108,159,99,161
31,product-347,29,67,61,205,232
32,product-316,30,47,209,137,108
33,product-162,30,120,96,61,230
34,product-499,31,78,86,136,22
35,product-80,31,119,169,92,126
36,product-199,32,32,166,64,137
37,product-105,32,70,124,255,131
38,product-464,32,131,264,215,32
39,product-94,33,118,187,42,21
40,product-178,34,105,170,29,135
41,product-171,35,67,201,188,164
42,product-423,35,87,95,68,176
43,product-449,35,90,160,55,58
44,product-195,36,116,22,71,246
45,product-440,37,131,30,136,208
46,product-247,38,48,212,204,98
47,product-124,39,66,78,163,170
48,product-19,39,74,86,89,125
49,product-489,39,86,134,147,206
50,product-430,39,102,214,206,197
51,product-458,39,121,5,169,39
52,product-89,40,44,101,168,93
53,product-292,40,79,37,134,185
54,product-168,40,105,64,74,126
55,product-481,41,63,30,34,234
56,product-220,41,101,72,178,156
57,product-54,41,102,112,92,41
58,product-243,42,84,117,175,32
59,product-238,43,62,125,110,50
60,product-237,43,102,124,189,45
61,product-325,43,109,148,34,164
62,product-184,44,88,146,133,112
63,product-327,44,107,182,211,134
64,product-181,45,81,127,142,150
65,product-112,45,112,79,126,85
66,product-235,47,103,89,91,239
67,product-177,48,111,108,89,114
68,product-153,49,116,198,54,59
69,product-276,50,59,50,155,125
70,product-65,50,64,27,141,93
71,product-107,50,72,72,158,140
72,product-324,50,95,208,187,138
73,product-262,51,90,81,97,76
74,product-257,51,126,231,64,219
75,product-147,51,128,150,95,15
76,product-49,51,132,108,176,50
77,product-234,54,71,85,127,123
78,product-432,54,120,192,151,175
79,product-275,54,130,65,159,76
80,product-71,55,89,190,95,99
81,product-357,56,76,175,76,136
82,product-436,56,84,100,138,89
83,product-183,56,93,118,75,104
84,product-173,56,115,44,168,211
85,product-364,57,91,140,189,113
86,product-455,57,109,128,107,104
87,product-315,57,110,163,45,69
88,product-121,57,142,123,124,196
89,product-158,58,82,8,113,196
90,product-110,58,92,55,98,165
91,product-36,58,121,110,173,195
92,product-333,58,130,130,27,86
93,product-216,59,102,17,155,171
94,product-377,59,132,120,68,189
95,product-358,60,60,155,71,172
96,product-258,61,131,53,15,98
97,product-69,61,133,71,40,158
98,product-224,61,140,78,90,178
99,product-179,61,147,36,148,93
100,product-453,62,67,67,117,128
101,product-345,62,86,58,231,169
102,product-210,62,124,129,201,85
103,product-17,62,135,116,103,34
104,product-18,63,111,134,210,42
105,product-187,63,144,86,81,194
106,product-422,63,150,94,44,121
107,product-47,64,65,56,127,57
108,product-326,64,87,43,119,158
109,product-160,65,112,118,97,21
110,product-7,66,91,173,18,137
111,product-96,66,103,49,34,8
112,product-217,67,102,198,180,133
113,product-375,67,122,86,167,67
114,product-322,67,142,152,124,78
115,product-442,68,72,229,145,191
116,product-362,68,76,143,164,52
117,product-236,68,88,109,68,84
